kappa0,p,a23_r,a23_i,a13,eps_cp,cabibbo,beta_mass,mass_amp,K1_오,K2_미,K3_신,K4_유,K5_술,K6_해,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.42,2.5,0.42,0.16,0.28,0.015,0.23,6,3.967552796090051,0.004762896722078401,0.026943012562182532,0.07424621202458749,0.15241269510650884,0.2662540210094558,0.42,0.0003579541715528384,1.000000000000216,2793.6537117640164,2793.6537117646185,2793.653711763413,7804501.061252862,6.892345144006908
0.42,2.75,0.42,0.16,0.28,0.015,0.23,6,3.8762558158089555,0.003043220016809169,0.020472262423705433,0.062433373537642854,0.13772041667381776,0.25439048526891456,0.42,0.00042966203148001644,0.9999999999999964,2327.41067800521,2327.4106780051998,2327.410678005218,5416840.464092665,6.733746045004868
0.42,3.0,0.42,0.16,0.28,0.015,0.23,6,3.79225,0.001944444444444444,0.015555555555555552,0.0525,0.12444444444444441,0.2430555555555556,0.42,0.0005082688591978072,0.9999999999999044,1967.4626566307559,1967.4626566305653,1967.462656630944,3870909.305236547,6.5878129959904275
0.42,3.25,0.42,0.16,0.28,0.015,0.23,6,3.714797944548079,0.0012423893693677517,0.011819666221246992,0.04414706180082001,0.112448249338114,0.2322256786607836,0.42,0.0005934272738909243,0.9999999999998519,1685.1264577768732,1685.1264577766244,1685.1264577771228,2839651.178699633,6.453264994811091
0.42,0.0,0.42,0.16,0.28,0.015,0.23,4,3.6959999999999997,0.42,0.42,0.42,0.42,0.42,0.42,0.000616162395571689,0.9999999999999781,1622.9487667324745,1622.9487667324395,1622.94876673251,2633962.6994384606,6.420609620457674
0.42,3.5,0.42,0.16,0.28,0.015,0.23,6,3.6432510686445956,0.0007938161203464001,0.008981004187394177,0.037123106012293745,0.10160846340433921,0.22187835084121313,0.42,0.0006847189216365049,0.9999999999999664,1460.4532873284134,1460.4532873283645,1460.4532873284625,2132923.8044683696,6.328975341201892
0.42,3.75,0.42,0.16,0.28,0.015,0.23,6,3.577037684589903,0.0005072033361348615,0.006824087474568478,0.031216686768821427,0.0918136111158785,0.21199207105742882,0.42,0.0007816719793386565,1.0000000000000029,1279.3090022825993,1279.3090022826016,1279.3090022825957,1636631.5233212977,6.213950911909517
0.42,0.25,0.42,0.16,0.28,0.015,0.23,4,3.537202702735005,0.2683561037834344,0.31913098797366884,0.35317649440656007,0.3795128415161348,0.40128597272583405,0.42,0.0008464957259654796,1.0000000000001084,1181.3408731147933,1181.3408731149207,1181.3408731146653,1395566.2584916216,6.144750460684324
0.42,4.0,0.42,0.16,0.28,0.015,0.23,6,3.515652777777778,0.000324074074074074,0.005185185185185184,0.02625,0.08296296296296295,0.20254629629629634,0.42,0.0008837772068374578,0.9999999999999121,1131.5068914013282,1131.5068914012281,1131.5068914014278,1280307.8452886965,6.107314406706912
0.42,0.5,0.42,0.16,0.28,0.015,0.23,4,3.394542922723585,0.17146428199482247,0.2424871130596428,0.29698484809834996,0.34292856398964494,0.38340579025361626,0.42,0.0011259976397009434,0.9999999999999962,888.1013287608598,888.1013287608567,888.1013287608631,788723.970146805,5.896925039690358
0.42,0.75,0.42,0.16,0.28,0.015,0.23,4,3.266044084689799,0.10955592060513011,0.18425036181334892,0.24973349415057142,0.30987093751609,0.36632229878723693,0.42,0.0014559623771957242,0.9999999999999611,686.830934413335,686.8309344133085,686.8309344133617,471736.73246709496,5.673699694534147
