sigma,phase_strength,circulation_sign,theta12,theta23,theta13,score
2.6936708860759495,0.948405329385598,1,0.5205329542559671,0.6452579349877731,0.1800331717071836,0.11424228246344342
2.6936708860759495,0.948405329385598,-1,0.5205329542559671,0.6452579349877731,0.1800331717071836,0.11424228246344342
0.9670886075949368,1.0274391068343978,1,0.5180244001549912,0.6747602202436046,0.2073568386967919,0.11457221829819611
0.9670886075949368,1.0274391068343978,-1,0.5180244001549912,0.6747602202436046,0.2073568386967919,0.11457221829819611
1.969620253164557,0.948405329385598,1,0.5199713711935079,0.645257934987773,0.18003317170718364,0.1148038655259028
1.969620253164557,0.948405329385598,-1,0.5199713711935079,0.645257934987773,0.18003317170718364,0.1148038655259028
2.5544303797468357,0.9681637737477979,1,0.5813667355827614,0.6529400310427443,0.18654118498826364,0.11496788952828063
2.5544303797468357,0.9681637737477979,-1,0.5813667355827614,0.6529400310427443,0.18654118498826364,0.11496788952828063
2.3037974683544307,0.9681637737477979,-1,0.5814600375272192,0.6529400310427445,0.18654118498826355,0.11506119147273822
2.3037974683544307,0.9681637737477979,1,0.5814600375272192,0.6529400310427445,0.18654118498826355,0.11506119147273822
1.9139240506329116,1.1262313286453975,1,0.563063928739445,0.7067840295618694,0.24574112716394522,0.11558908546525959
1.9139240506329116,1.1262313286453975,-1,0.563063928739445,0.7067840295618694,0.24574112716394522,0.11558908546525959
1.8025316455696203,1.1064728842831977,1,0.5770816156919559,0.7008317449548692,0.23773892422648912,0.11565228487331428
1.8025316455696203,1.1064728842831977,-1,0.5770816156919559,0.7008317449548692,0.23773892422648912,0.11565228487331428
2.7493670886075954,1.0274391068343978,-1,0.5831876455367981,0.6747602202436047,0.2073568386967918,0.11578426398998515
2.7493670886075954,1.0274391068343978,1,0.5831876455367981,0.6747602202436047,0.2073568386967918,0.11578426398998515
2.331645569620253,0.928646885023398,1,0.5205097869983596,0.6373794430662633,0.17375923049611555,0.1158700004314927
2.331645569620253,0.928646885023398,-1,0.5205097869983596,0.6373794430662633,0.17375923049611555,0.1158700004314927
2.916455696202532,0.9879222181099979,1,0.5834265558506376,0.6604208530967124,0.193271786848115,0.11627748960204015
2.916455696202532,0.9879222181099979,-1,0.5834265558506376,0.6604208530967124,0.193271786848115,0.11627748960204015
2.7215189873417724,1.007680662472198,-1,0.5837624074908365,0.667695736180713,0.20021389179141194,0.1162805631015354
2.7215189873417724,1.007680662472198,1,0.5837624074908365,0.667695736180713,0.20021389179141194,0.1162805631015354
1.579746835443038,0.8693715519367982,1,0.5728931576301143,0.6126177721777971,0.15646145252790303,0.11673683798022011
1.579746835443038,0.8693715519367982,-1,0.5728931576301143,0.6126177721777971,0.15646145252790303,0.11673683798022011
2.331645569620253,0.8298546632123982,-1,0.5586471057490678,0.5952279588425499,0.1463219380496774,0.11709720885684047
