we,wnu,ae,anu,theta12,theta23,theta13,J,absJ,unitarity_defect,gap_e,gap_nu,loss
-10,12,0.1,-0.1,31.788402293394025,50.238784243225325,6.624699332996899,-0.01981152659025713,0.01981152659025713,1.2283214230945256e-15,1.1146030810050875,1.087375865468829,10.528390760667854
10,-12,0.1,-0.1,31.788402293394025,50.238784243225325,6.624699332996899,0.01981152659025713,0.01981152659025713,1.2283214230945256e-15,1.1146030810050875,1.087375865468829,10.528390760667854
8,10,-0.1,-0.04000000000000001,38.695678007895204,48.39675002709993,10.495450632303708,-0.03429441664655145,0.03429441664655145,1.580469230836727e-15,1.1684223444701398,1.0690771009086155,10.895161935688796
-8,-10,-0.1,-0.04000000000000001,38.695678007895204,48.39675002709993,10.495450632303708,0.03429441664655145,0.03429441664655145,1.580469230836727e-15,1.1684223444701398,1.0690771009086155,10.895161935688796
-10,12,0.04000000000000001,-0.1,32.09780222454799,48.04795862372382,11.442273299949237,-0.024122640114678948,0.024122640114678948,7.840643074699968e-16,1.085691128904503,1.087375865468829,11.329906169739973
10,-12,0.04000000000000001,-0.1,32.09780222454799,48.04795862372382,11.442273299949237,0.024122640114678948,0.024122640114678948,7.840643074699968e-16,1.085691128904503,1.087375865468829,11.329906169739973
-10,-12,0.1,-0.04000000000000001,30.506842403835847,42.647022152046866,10.41151832993139,-0.037878056297648434,0.037878056297648434,2.0623345240733307e-15,1.1146030810050875,1.0351594259879517,11.695384816853066
10,12,0.1,-0.04000000000000001,30.506842403835847,42.647022152046866,10.41151832993139,0.037878056297648434,0.037878056297648434,2.0623345240733307e-15,1.1146030810050875,1.0351594259879517,11.695384816853066
10,8,0.01999999999999999,-0.04000000000000001,35.05051406265021,55.105874263569426,10.582048309833672,-0.021241116341876032,0.021241116341876032,1.239714521823881e-15,1.0800124045672772,1.1819662937132152,13.202403814486356
-10,-8,0.01999999999999999,-0.04000000000000001,35.05051406265021,55.105874263569426,10.582048309833672,0.021241116341876032,0.021241116341876032,1.239714521823881e-15,1.0800124045672772,1.1819662937132152,13.202403814486356
12,-10,-0.020000000000000004,0.0,29.45167352239727,55.67386525738521,7.082456700469621,-0.023384936578788422,0.023384936578788422,1.016968229659091e-15,1.0169878828320382,1.0760126198664983,13.815014953333284
-12,10,-0.020000000000000004,0.0,29.45167352239727,55.67386525738521,7.082456700469621,0.023384936578788422,0.023384936578788422,1.016968229659091e-15,1.0169878828320382,1.0760126198664983,13.815014953333284
-10,12,-0.060000000000000005,-0.060000000000000005,31.99910715074111,41.044044075453385,11.013734917282886,0.037246973651472115,0.037246973651472115,8.228954784458061e-16,1.0665281428175768,1.0540945295266684,14.9831812570284
10,-12,-0.060000000000000005,-0.060000000000000005,31.99910715074111,41.044044075453385,11.013734917282886,-0.037246973651472115,0.037246973651472115,8.228954784458061e-16,1.0665281428175768,1.0540945295266684,14.9831812570284
10,12,-0.04000000000000001,0.01999999999999999,28.42680546811624,55.805993760949285,8.341323309740098,0.022131252561933188,0.022131252561933188,1.0751479677798862e-15,1.0690771009086155,1.0143084165810892,15.07980476322752
-10,-12,-0.04000000000000001,0.01999999999999999,28.42680546811624,55.805993760949285,8.341323309740098,-0.022131252561933188,0.022131252561933188,1.0751479677798862e-15,1.0690771009086155,1.0143084165810892,15.07980476322752
-10,-8,0.0,-0.060000000000000005,31.418110212149397,50.361125017380466,12.22470701102689,-0.02294069124877422,0.02294069124877422,1.3364893291463056e-15,1.0760126198664983,1.1787129439576514,17.81153717322507
10,8,0.0,-0.060000000000000005,31.418110212149397,50.361125017380466,12.22470701102689,0.02294069124877422,0.02294069124877422,1.3364893291463056e-15,1.0760126198664983,1.1787129439576514,17.81153717322507
-8,10,0.0,-0.060000000000000005,29.250347689800503,59.303905058308544,9.858628206855666,-0.027358721473275054,0.027358721473275054,8.549715036200564e-16,1.1772209291938167,1.0665281428175768,18.25372875535664
8,-10,0.0,-0.060000000000000005,29.250347689800503,59.303905058308544,9.858628206855666,0.027358721473275054,0.027358721473275054,8.549715036200564e-16,1.1772209291938167,1.0665281428175768,18.25372875535664
10,-8,-0.08,-0.04000000000000001,25.47855582182381,46.92083522937326,8.662740472761028,-0.024334068619487382,0.024334068619487382,1.7078420899712154e-15,1.0647288003033644,1.1819662937132152,18.782586197700674
-10,8,-0.08,-0.04000000000000001,25.47855582182381,46.92083522937326,8.662740472761028,0.024334068619487382,0.024334068619487382,1.7078420899712154e-15,1.0647288003033644,1.1819662937132152,18.782586197700674
