N_gen,winding,asym,score,unitarity_defect,condition_number,rank_eff,mixing_entropy,J_like,absJ_like,min_singular,max_singular,singular_values
4,11,0.14,1.8608636304715842,0.5556520206720044,1.4085805561534017,4,1.4971456895032447,0.0,0.0,0.8251426116912396,1.1622798388819167,"1.162280e+00,1.107345e+00,9.052325e-01,8.251426e-01"
5,-11,-0.18000000000000002,1.8597574680558289,0.8502996993079016,1.838050216352192,5,1.8141006377058133,0.0,0.0,0.6796819906358085,1.2492896299388363,"1.249290e+00,1.147820e+00,9.929474e-01,9.302612e-01,6.796820e-01"
5,11,-0.18000000000000002,1.8597574680558289,0.8502996993079016,1.838050216352192,5,1.8141006377058133,0.0,0.0,0.6796819906358085,1.2492896299388363,"1.249290e+00,1.147820e+00,9.929474e-01,9.302612e-01,6.796820e-01"
4,-11,-0.1,1.8536258595958752,0.5467989499886594,1.4836811327904182,4,1.498738457569831,0.0,0.0,0.787907787865349,1.1690039192344535,"1.169004e+00,1.066233e+00,9.768557e-01,7.879078e-01"
4,11,-0.1,1.8536258595958752,0.5467989499886594,1.4836811327904182,4,1.498738457569831,0.0,0.0,0.787907787865349,1.1690039192344535,"1.169004e+00,1.066233e+00,9.768557e-01,7.879078e-01"
3,12,-0.010000000000000009,1.8490651246391088,0.21501628310201149,1.1643371060019838,3,1.1224172918195552,0.0,0.0,0.9242399779287337,1.0761269011528791,"1.076127e+00,9.996331e-01,9.242400e-01"
3,-12,-0.010000000000000009,1.8490651246391088,0.21501628310201149,1.1643371060019838,3,1.1224172918195552,0.0,0.0,0.9242399779287337,1.0761269011528791,"1.076127e+00,9.996331e-01,9.242400e-01"
3,-12,0.0,1.8486818237355493,0.21524631579148268,1.1644569550340396,3,1.1224472369505167,-1.4301296022175794e-21,1.4301296022175794e-21,0.9243273542600897,1.076339416396374,"1.076339e+00,9.993332e-01,9.243274e-01"
3,12,0.0,1.8486818237355493,0.21524631579148268,1.1644569550340396,3,1.1224472369505167,1.4301296022175794e-21,1.4301296022175794e-21,0.9243273542600897,1.076339416396374,"1.076339e+00,9.993332e-01,9.243274e-01"
3,12,-0.020000000000000018,1.8465036769586973,0.21647047765959732,1.1656025882916723,3,1.1228301591303338,0.0,0.0,0.9235712313017023,1.076517017676991,"1.076517e+00,9.999118e-01,9.235712e-01"
3,-12,-0.020000000000000018,1.8465036769586973,0.21647047765959732,1.1656025882916723,3,1.1228301591303338,0.0,0.0,0.9235712313017023,1.076517017676991,"1.076517e+00,9.999118e-01,9.235712e-01"
3,-12,0.009999999999999981,1.845358451139363,0.21715609409046344,1.1659819307904409,3,1.1229475887908333,0.0,0.0,0.9237778970997569,1.0771083360819078,"1.077108e+00,9.991138e-01,9.237779e-01"
3,12,0.009999999999999981,1.845358451139363,0.21715609409046344,1.1659819307904409,3,1.1229475887908333,0.0,0.0,0.9237778970997569,1.0771083360819078,"1.077108e+00,9.991138e-01,9.237779e-01"
4,-12,0.16999999999999998,1.8430041260173617,0.553444525389541,1.4953622031082656,4,1.4993354736856448,5.204170427930421e-18,5.204170427930421e-18,0.7799971171810663,1.1663782075659754,"1.166378e+00,1.071291e+00,9.823338e-01,7.799971e-01"
4,12,0.16999999999999998,1.8430041260173617,0.553444525389541,1.4953622031082656,4,1.4993354736856448,-5.204170427930421e-18,5.204170427930421e-18,0.7799971171810663,1.1663782075659754,"1.166378e+00,1.071291e+00,9.823338e-01,7.799971e-01"
3,12,-0.03,1.8410843811114783,0.21957410495840984,1.1682094778759227,3,1.1236574414172393,0.0,0.0,0.9223863365570945,1.0775404606292485,"1.077540e+00,1.000073e+00,9.223863e-01"
3,-12,-0.03,1.8410843811114783,0.21957410495840984,1.1682094778759227,3,1.1236574414172393,0.0,0.0,0.9223863365570945,1.0775404606292485,"1.077540e+00,1.000073e+00,9.223863e-01"
4,11,0.15000000000000002,1.8409925613797267,0.5709449780396576,1.415900187896226,4,1.5017980243553068,0.0,0.0,0.8245955023311806,1.1675449266891016,"1.167545e+00,1.110126e+00,8.977336e-01,8.245955e-01"
4,-11,0.15000000000000002,1.8409925613797267,0.5709449780396576,1.415900187896226,4,1.5017980243553068,0.0,0.0,0.8245955023311806,1.1675449266891016,"1.167545e+00,1.110126e+00,8.977336e-01,8.245955e-01"
3,12,0.01999999999999999,1.8391907515098564,0.22070239449727966,1.168905668631251,3,1.1238856097262548,8.456776945386935e-18,8.456776945386935e-18,0.9225542465455305,1.0783788884069032,"1.078379e+00,9.990669e-01,9.225542e-01"
3,-12,0.01999999999999999,1.8391907515098564,0.22070239449727966,1.168905668631251,3,1.1238856097262548,-8.456776945386935e-18,8.456776945386935e-18,0.9225542465455305,1.0783788884069032,"1.078379e+00,9.990669e-01,9.225542e-01"
5,11,-0.19,1.8336071357414865,0.8724844107840388,1.8594471406086734,5,1.8207089782476942,-2.6020852139652106e-18,2.6020852139652106e-18,0.6772301796069818,1.2592737210041007,"1.259274e+00,1.149872e+00,9.883058e-01,9.253179e-01,6.772302e-01"
