scale,i13,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.014,-0.012,-0.024,0.046000000000000006,0.07,34.530393620517,47.0594527146344,8.509900044093786,-0.030558858548169004,0.030558858548169004,2.9756449585460154e-16,0.0,3.3777577890830193
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.018000000000000002,-0.012,-0.024,0.046000000000000006,0.07,34.530393620516996,47.05945271463439,8.509900044093786,-0.030558858548169008,0.030558858548169008,4.215984799233902e-16,0.0,3.3777577890830295
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.016,-0.012,-0.024,0.05350000000000001,0.07750000000000001,34.814081957060516,47.85568347613571,8.878352206253227,-0.033454938294657025,0.033454938294657025,3.3386104224873447e-16,0.0,3.417855019218276
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.014,-0.012,-0.024,0.05350000000000001,0.07750000000000001,34.81408195706052,47.85568347613571,8.878352206253227,-0.03345493829465704,0.03345493829465704,2.6317533247822825e-16,0.0,3.4178550192182984
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.018000000000000002,-0.012,-0.024,0.05350000000000001,0.07750000000000001,34.814081957060516,47.85568347613569,8.87835220625323,-0.033454938294657025,0.033454938294657025,3.8187761470049544e-16,0.0,3.4178550192183086
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.01,-0.006,-0.024,0.0385,0.0625,34.40538338951557,47.00528510968323,8.41157113356772,-0.03022578587035126,0.03022578587035126,6.166838263190989e-16,0.0,3.426366185513169
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.012,-0.006,-0.024,0.0385,0.0625,34.40538338951558,47.00528510968323,8.41157113356772,-0.030225785870351296,0.030225785870351296,3.4139252231237994e-16,0.0,3.426366185513175
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.008,-0.006,-0.024,0.0385,0.0625,34.40538338951558,47.00528510968322,8.41157113356772,-0.03022578587035127,0.03022578587035127,4.677452743560217e-16,0.0,3.4263661855131953
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.012,-0.006,-0.024,0.05350000000000001,0.07750000000000001,34.863792384363535,47.434950848911605,8.502596129052737,-0.03162443392426075,0.03162443392426075,3.5480078352508005e-16,0.0,3.4490174405808247
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.01,-0.006,-0.024,0.05350000000000001,0.07750000000000001,34.86379238436355,47.43495084891162,8.502596129052737,-0.03162443392426078,0.03162443392426078,3.998227156068259e-16,0.0,3.449017440580841
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.008,-0.006,-0.024,0.05350000000000001,0.07750000000000001,34.86379238436355,47.43495084891162,8.502596129052737,-0.03162443392426076,0.03162443392426076,1.8391341617266759e-16,0.0,3.449017440580842
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.016,-0.01,-0.024,0.046000000000000006,0.07,34.56315133057761,47.05205516198838,8.46272085347461,-0.030461280388590486,0.030461280388590486,6.498710354215026e-16,0.0,3.5318963132611194
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.014,-0.01,-0.024,0.046000000000000006,0.07,34.563151330577625,47.052055161988356,8.462720853474611,-0.030461280388590528,0.030461280388590528,4.3402767502243047e-16,0.0,3.5318963132611816
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.012,-0.01,-0.024,0.046000000000000006,0.07,34.56315133057762,47.05205516198835,8.462720853474611,-0.030461280388590514,0.030461280388590514,3.878959614448864e-16,0.0,3.5318963132611816
2.5,-0.4,0.055,0.165,0.11,-0.002,-0.014,-0.012,-0.024,0.061000000000000006,0.085,34.755942181850855,47.18360185682038,8.534181361497577,-0.03158498680908455,0.03158498680908455,4.686679816778808e-16,0.0,3.5575367086953777
2.5,-0.4,0.055,0.165,0.11,-0.006,-0.018000000000000002,-0.012,-0.024,0.061000000000000006,0.085,34.75594218185087,47.18360185682039,8.534181361497575,-0.03158498680908456,0.03158498680908456,2.8396792775211806e-16,0.0,3.557536708695403
2.5,-0.4,0.055,0.165,0.11,-0.004,-0.016,-0.012,-0.024,0.061000000000000006,0.085,34.75594218185087,47.18360185682036,8.534181361497575,-0.03158498680908458,0.03158498680908458,5.127744003530864e-16,0.0,3.5575367086954524
2.5,-0.4,0.066,0.156,0.09,-0.004,-0.01,-0.006,-0.024,0.061000000000000006,0.085,34.21661593248447,47.25887527766328,8.127592571878873,-0.030825675102325933,0.030825675102325933,4.135778683463265e-16,0.0,3.5872505142930846
2.5,-0.4,0.066,0.156,0.09,-0.002,-0.008,-0.006,-0.024,0.061000000000000006,0.085,34.21661593248447,47.25887527766328,8.127592571878868,-0.030825675102325943,0.030825675102325943,5.570934195524299e-16,0.0,3.5872505142931126
2.5,-0.4,0.066,0.156,0.09,-0.006,-0.012,-0.006,-0.024,0.061000000000000006,0.085,34.21661593248449,47.25887527766328,8.12759257187887,-0.03082567510232596,0.03082567510232596,5.862659612607371e-16,0.0,3.587250514293122
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.01,-0.004,-0.024,0.05350000000000001,0.07750000000000001,34.89284275197232,47.42780344007924,8.454993667334582,-0.03151116159601089,0.03151116159601089,3.73155108472599e-16,0.0,3.6042106673227043
