p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.2,3.95,3.026819799894765,0.25812454723920464,0.002349295930427995,0.9999999999999994,425.6594441968915,425.6594441968915,425.65944419689174,181185.9624340067,5.258124547239205
1.2,4.0,3.065133974576977,0.324683085811853,0.002175997825816931,1.0000000000000016,459.5592827049692,459.5592827049693,459.55928270496844,211194.7343203055,5.324683085811853
1.2,4.050000000000001,3.1034481492591897,0.3912416243845023,0.002015483224838934,0.9999999999999827,496.15892986651596,496.1589298665073,496.15892986652455,246173.68368628627,5.391241624384502
1.2,4.1,3.1417623239414008,0.457800162957148,0.0018668091398860243,1.00000000000003,535.6734004747016,535.6734004747179,535.6734004746855,286945.9919761302,5.457800162957148
1.2,4.15,3.1800764986236136,0.5243587015297972,0.0017291021437504074,0.9999999999999178,578.3348332626599,578.3348332626126,578.3348332627074,334471.17936494877,5.524358701529797
1.2,4.2,3.2183906733058256,0.5909172401024456,0.0016015532384337904,0.9999999999999847,624.393854666943,624.3938546669334,624.3938546669525,389867.6857458435,5.590917240102446
1.2,4.25,3.256704847988038,0.657475778675094,0.0014834131024638916,1.0000000000000482,674.1210512021488,674.1210512021817,674.1210512021163,454439.1916738904,5.657475778675094
1.2,4.300000000000001,3.2950190226702505,0.7240343172477424,0.0013739876887973468,1.0000000000000158,727.8085590965528,727.8085590965644,727.8085590965413,529705.2986942006,5.724034317247742
1.2,4.35,3.333333197352462,0.7905928558203899,0.0012726341474475619,1.0000000000000175,785.7717805275256,785.7717805275391,785.7717805275119,617437.2910733977,5.79059285582039
1.2,4.4,3.371647372034675,0.8571513943930391,0.0011787570488839053,0.9999999999999236,848.3512365392345,848.3512365391698,848.3512365392993,719699.8205376483,5.857151394393039
1.2,4.45,3.409961546716887,0.9237099329656866,0.001091804886015561,1.0000000000000033,915.9145675280917,915.9145675280947,915.9145675280886,838899.4950101711,5.923709932965687
1.2,4.5,3.448275721399099,0.990268471538335,0.0010112668342099175,0.9999999999999942,988.8586930483883,988.8586930483824,988.858693048394,977841.5148173664,5.990268471538335
1.3,3.05,2.3066575209725078,0.9929254680040227,0.009918882235122616,1.000000000000005,100.81781155330337,100.81781155330384,100.81781155330286,10164.231126397386,4.007074531995977
1.3,3.1,2.3444715786933688,0.9272357215778584,0.009196400169836869,0.999999999999998,108.73819989694279,108.73819989694256,108.738199896943,11823.996116827488,4.072764278422142
