beta_u,beta_d,theta12,theta23,theta13,J,absJ,Hu,Hd,L12,L23,L13,LJ,LOSS
3.0,2.5,0.0,1.6392203624658516e-15,0.0,-0.0,0.0,3.7964608868499763,3.1637174057083137,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.55,0.0,1.3063981240709823e-14,0.0,0.0,0.0,3.7964608868499763,3.2269917538224804,170.0416,5.664399999999938,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.6,0.0,7.878419042393802e-15,0.0,0.0,0.0,3.7964608868499763,3.2902661019366466,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.6500000000000004,0.0,1.6392203624658512e-15,0.0,0.0,0.0,3.7964608868499763,3.3535404500508132,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.7,0.0,5.0710065558443014e-15,0.0,0.0,0.0,3.7964608868499763,3.4168147981649795,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.75,0.0,4.756338848256934e-15,0.0,0.0,0.0,3.7964608868499763,3.4800891462791452,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.8,0.0,1.853833799767021e-14,0.0,-0.0,0.0,3.7964608868499763,3.543363494393312,170.0416,5.664399999999911,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,2.85,0.0,1.4276590760715186e-14,0.0,0.0,0.0,3.7964608868499763,3.6066378425074777,170.0416,5.664399999999932,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.9000000000000004,0.0,4.848832870080055e-15,0.0,0.0,0.0,3.7964608868499763,3.6699121906216448,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.95,0.0,8.328962525689804e-15,0.0,0.0,0.0,3.7964608868499763,3.7331865387358105,170.0416,5.66439999999996,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.0,0.0,1.1490605995540807e-14,0.0,0.0,0.0,3.7964608868499763,3.7964608868499763,170.0416,5.664399999999945,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.0500000000000003,0.0,1.7271895430340695e-15,0.0,0.0,0.0,3.7964608868499763,3.859735234964144,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.1,0.0,2.0203186534343926e-15,0.0,0.0,0.0,3.7964608868499763,3.9230095830783096,170.0416,5.664399999999989,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.15,0.0,4.756338848256934e-15,0.0,0.0,0.0,3.7964608868499763,3.9862839311924754,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.2,0.0,1.3531052503098027e-14,0.0,0.0,0.0,3.7964608868499763,4.049558279306641,170.0416,5.664399999999936,0.040401000000000006,649.0837074276884,824.8301084276884
