w_ckm,w_pmns,spread,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,Jckm,Jpmns,score_ckm,score_pmns,score
0.25,2.5,1.3157894736842106,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.21429821136136015,0.5502089407778049,0.35545481868897566,-0.007477649339246589,0.002876942766403121,0.14984895620546532,0.6909476665498105,0.8407966227552759
0.0,2.5,1.3157894736842106,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.21429821136136015,0.5502089407778049,0.35545481868897566,-0.006158559966820482,0.002876942766403121,0.15492659023205516,0.6909476665498105,0.8458742567818657
0.5,2.5,1.2210526315789474,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2079525178628532,0.5345809743915136,0.34786561923048653,-0.008658598943334947,0.0031377282020065506,0.14178311906664604,0.7053321269761197,0.8471152460427658
0.25,2.5,1.2684210526315791,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.21102400766995733,0.5426215641974597,0.3518023214457993,-0.007477649339246589,0.003004331643559355,0.14984895620546532,0.6981567495783824,0.8480057057838477
0.0,2.5,1.2684210526315791,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.21102400766995733,0.5426215641974597,0.3518023214457993,-0.006158559966820482,0.003004331643559355,0.15492659023205516,0.6981567495783824,0.8530833398104375
0.5,2.5,1.1736842105263159,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2051967319431881,0.5260950119640628,0.3436234986931846,-0.008658598943334947,0.0032569882655309624,0.14178311906664604,0.7123317547859337,0.8541148738525797
0.25,2.5,1.2210526315789474,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2079525178628532,0.5345809743915136,0.34786561923048653,-0.007477649339246589,0.0031377282020065506,0.14984895620546532,0.7053321269761197,0.855181083181585
0.0,2.5,1.2210526315789474,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2079525178628532,0.5345809743915136,0.34786561923048653,-0.006158559966820482,0.0031377282020065506,0.15492659023205516,0.7053321269761197,0.8602587172081748
0.5,2.5,1.1263157894736842,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2028882759840147,0.517176355836349,0.3390543176900446,-0.008658598943334947,0.003337448916935992,0.14178311906664604,0.7189896858696809,0.860772804936327
0.25,2.5,1.1736842105263159,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2051967319431881,0.5260950119640628,0.3436234986931846,-0.007477649339246589,0.0032569882655309624,0.14984895620546532,0.7123317547859337,0.862180710991399
0.5,2.5,1.0789473684210527,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.20117597585801225,0.5078430204245888,0.33413642702275415,-0.008658598943334947,0.0033499126917181654,0.14178311906664604,0.725117430740153,0.866900549806799
0.0,2.5,1.1736842105263159,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2051967319431881,0.5260950119640628,0.3436234986931846,-0.006158559966820482,0.0032569882655309624,0.15492659023205516,0.7123317547859337,0.8672583450179888
0.25,2.5,1.1263157894736842,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2028882759840147,0.517176355836349,0.3390543176900446,-0.007477649339246589,0.003337448916935992,0.14984895620546532,0.7189896858696809,0.8688386420751463
0.5,2.5,1.0315789473684212,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.20022216730714018,0.49811881659783463,0.3288487484513788,-0.008658598943334947,0.0032608764645686546,0.14178311906664604,0.730507764546404,0.8722908836130501
0.5,2.5,0.7,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.22723899552992746,0.4224401116025801,0.28032384030298196,-0.008658598943334947,-0.003488091146224565,0.14178311906664604,0.7306447331704744,0.8724278522371205
0.0,2.5,1.1263157894736842,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2028882759840147,0.517176355836349,0.3390543176900446,-0.006158559966820482,0.003337448916935992,0.15492659023205516,0.7189896858696809,0.8739162761017361
0.25,2.5,1.0789473684210527,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.20117597585801225,0.5078430204245888,0.33413642702275415,-0.007477649339246589,0.0033499126917181654,0.14984895620546532,0.725117430740153,0.8749663869456183
0.5,2.5,0.9842105263157894,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.20019625140376124,0.488033746990659,0.3231715492687795,-0.008658598943334947,0.003033068425350981,0.14178311906664604,0.7349415508743593,0.8767246699410054
0.5,2.5,0.7473684210526316,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.21908880462913086,0.4337009340403137,0.28850334301533936,-0.008658598943334947,-0.0016044650391754448,0.14178311906664604,0.7357136043458948,0.8774967234125408
0.5,3.5,0.7,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2570701203523371,0.3732411299037577,0.26644144673608655,-0.008658598943334947,0.000647371507294836,0.14178311906664604,0.7361301964799918,0.8779133155466379
0.5,2.5,0.9368421052631579,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.20126537612879905,0.47762429805744816,0.3170874627131061,-0.008658598943334947,0.002626355564929414,0.14178311906664604,0.738197788526859,0.879980907593505
0.0,2.5,1.0789473684210527,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.20117597585801225,0.5078430204245888,0.33413642702275415,-0.006158559966820482,0.0033499126917181654,0.15492659023205516,0.725117430740153,0.8800440209722081
0.25,2.5,1.0315789473684212,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.20022216730714018,0.49811881659783463,0.3288487484513788,-0.007477649339246589,0.0032608764645686546,0.14984895620546532,0.730507764546404,0.8803567207518693
0.25,2.5,0.7,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.22723899552992746,0.4224401116025801,0.28032384030298196,-0.007477649339246589,-0.003488091146224565,0.14984895620546532,0.7306447331704744,0.8804936893759397
0.5,2.5,0.7947368421052632,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2124301942648149,0.44491325077692595,0.2962862991341705,-0.008658598943334947,-8.016357516261899e-05,0.14178311906664604,0.7389428540924297,0.8807259731590757
0.5,2.5,0.8894736842105263,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2035827692376212,0.4669335818156325,0.31058281439387425,-0.008658598943334947,0.0019990773101459074,0.14178311906664604,0.7400664633406205,0.8818495824072665
