N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,nonorth_mean,nonorth_std,p3_gap_mean,p3_gap_std
3,-8,0.0,0.0001,1.841281617022925,0.00010276114658761008,3.0,0.0,4.375409781547373,0.0008022157852386833,0.8355832797725125,6.32867774261865e-05,,
3,-8,0.0,0.0003,1.8412941536992278,0.00025972153883177594,3.0,0.0,4.375241650618096,0.002573732038955297,0.8355743348377371,0.0001968848836026858,,
3,-8,0.0,0.001,1.8414074688935245,0.0009104225141305431,3.0,0.0,4.3751264107916565,0.008281285111889317,0.8356076163419065,0.0005348846219902677,,
3,-8,0.0,0.003,1.8417482829213392,0.0030563246838113973,3.0,0.0,4.3740444135910055,0.01847540922221928,0.8354435953792464,0.0013471480844677252,,
3,-8,0.0,0.01,1.838542458536373,0.011624958101969148,3.0,0.0,4.385462080455365,0.0862353960687772,0.8363021105253967,0.005838390570417338,,
3,-8,0.03,0.0,1.8343653565520246,0.0,3.0,0.0,4.3494956943355865,0.0,0.8333022404678214,0.0,,
3,-8,0.03,0.0001,1.83437376579321,9.092451461383451e-05,3.0,0.0,4.349495700417959,0.0007663502459689354,0.8333031225381218,5.7145802359443395e-05,,
3,-8,0.03,0.0003,1.834394196636012,0.0002799976252959602,3.0,0.0,4.3494722949438,0.0026505622458941973,0.8332911778919294,0.00017456973778911904,,
3,-8,0.03,0.001,1.8344601637453717,0.0010633277096172731,3.0,0.0,4.3492664294676215,0.008049191569710165,0.833287926980917,0.0006266045368600327,,
3,-8,0.03,0.003,1.8338936297514095,0.0031691749122219437,3.0,0.0,4.355542023013831,0.020999255316504335,0.833708747027119,0.0014672820196560486,,
3,-8,0.03,0.01,1.8361366195748374,0.009151619675163859,3.0,0.0,4.350233529873343,0.07665083855234618,0.8332590406740998,0.005294664506390268,,
3,-8,0.07,0.0,1.8064868373724117,0.0,3.0,0.0,4.340414061359758,0.0,0.8321021726880096,0.0,,
3,-8,0.07,0.0001,1.806498821699106,9.193636143058103e-05,3.0,0.0,4.340519654908334,0.0008062013417990351,0.8321082200371375,5.61252905865614e-05,,
3,-8,0.07,0.0003,1.8064688731376883,0.00024577134613940077,3.0,0.0,4.340651507188632,0.001841897135447474,0.8320988378343811,0.00012999162191329748,,
3,-8,0.07,0.001,1.8063071234165704,0.0008478879437336865,3.0,0.0,4.342879415888144,0.007776004966864615,0.8322347404595482,0.0005454648226386327,,
3,-8,0.07,0.003,1.8067592743888556,0.0024080777767926742,3.0,0.0,4.341573908192886,0.020391244547476012,0.8322914239119334,0.0014930687835592146,,
3,-8,0.07,0.01,1.80622680664696,0.006886282233048995,3.0,0.0,4.346721499754986,0.07971097611092359,0.8320275444584425,0.0060026662234981135,,
3,-8,0.1,0.0,1.7761497841843394,0.0,3.0,0.0,4.347724295815314,0.0,0.8326213081314116,0.0,,
3,-8,0.1,0.0001,1.7761580642637576,0.00010512135491719336,3.0,0.0,4.347891507044824,0.0006891198992146077,0.832633182442215,5.2600874985643135e-05,,
3,-8,0.1,0.0003,1.776184068686065,0.0003215807251680381,3.0,0.0,4.347684358290605,0.002547312871941398,0.8326158320046291,0.00016914250225493483,,
3,-8,0.1,0.001,1.7762464984830673,0.0009337227178207735,3.0,0.0,4.346295779288539,0.007031862278725585,0.8326147962888613,0.00047164226169347357,,
3,-8,0.1,0.003,1.7763536093881669,0.002363943846710301,3.0,0.0,4.347661392652023,0.021145344779155275,0.8325055657421648,0.001485451041675595,,
3,-8,0.1,0.01,1.777671445511121,0.0100980677238177,3.0,0.0,4.36286715968699,0.0753063631948762,0.8340324530303729,0.005894525159554197,,
3,-6,-0.1,0.0,1.3378348149378354,0.0,2.0,0.0,17.56177958662861,0.0,1.2255668125736279,0.0,,
3,-6,-0.1,0.0001,1.3378320668536532,4.141454273813411e-05,2.0,0.0,17.56316285020493,0.00942011753641629,1.2255637475362746,5.7456630206444545e-05,,
3,-6,-0.1,0.0003,1.3378214989309243,0.00011138802654091352,2.0,0.0,17.55735998689987,0.028927566564116814,1.2255523581685672,0.00016283649537319412,,
3,-6,-0.1,0.001,1.3379312030830164,0.0004173645642627934,2.0,0.0,17.555568137783062,0.0909743494270245,1.2255838230669671,0.0005893854273177834,,
3,-6,-0.1,0.003,1.338121906090083,0.0013107302146595262,2.0,0.0,17.560590401121317,0.2733421077858243,1.225695838608572,0.0016602482577342194,,
3,-6,-0.1,0.01,1.3387701971142492,0.004157382406373776,2.0,0.0,17.614521625147567,0.9221567613795069,1.225647592964761,0.004974037347879029,,
3,-6,-0.07,0.0,1.342349351295723,0.0,2.0,0.0,17.377636152274153,0.0,1.221807697758475,0.0,,
3,-6,-0.07,0.0001,1.3423445295717606,3.8958388194029997e-05,2.0,0.0,17.38051286899944,0.009727470584927397,1.221809494849213,4.8617242973999324e-05,,
3,-6,-0.07,0.0003,1.3423545390176959,0.00014017192056605884,2.0,0.0,17.37704528206236,0.027300599318777385,1.221790031243222,0.00014999761730299216,,
3,-6,-0.07,0.001,1.3424524660997876,0.00041158613503624903,2.0,0.0,17.36121657742897,0.08990177653219825,1.2216747474356633,0.00043490809605784724,,
3,-6,-0.07,0.003,1.3424544915307721,0.0012617520776722808,2.0,0.0,17.412428696755732,0.28730864542959,1.2217197657818446,0.0017908929890918866,,
3,-6,-0.07,0.01,1.3415600543674706,0.004479523709199659,2.0,0.0,17.53318023586213,0.7890229212379003,1.2224617443818215,0.005091196416109957,,
3,-6,-0.03,0.0,1.3467114655833867,0.0,2.0,0.0,17.15274502390327,0.0,1.2178864134246055,0.0,,
3,-6,-0.03,0.0001,1.3467115934487732,4.093682217654782e-05,2.0,0.0,17.153384648031782,0.008012845671082118,1.2178866021491057,5.358413741553257e-05,,
3,-6,-0.03,0.0003,1.3467584355288582,0.00014936995420757903,2.0,0.0,17.146226609349746,0.02445812339152246,1.2178514262937987,0.00016919709685444138,,
3,-6,-0.03,0.001,1.3467285536655016,0.0004471144767649036,2.0,0.0,17.15084916795945,0.08566298857129334,1.2178557121901212,0.0005875336209898424,,
3,-6,-0.03,0.003,1.3467481078631838,0.0011261272891431948,2.0,0.0,17.164445179992093,0.26113188652745395,1.2179992468835226,0.0016894932694907006,,
3,-6,-0.03,0.01,1.3460709486562423,0.00433823344732599,2.0,0.0,17.22202191078119,0.8914808158003991,1.2186822606386944,0.005616944008319048,,
3,-6,0.0,0.0,1.3486024038959632,0.0,2.0,0.0,17.00025537991552,0.0,1.2158095715886037,0.0,,
3,-6,0.0,0.0001,1.3486032504816876,5.0094287150043765e-05,2.0,0.0,17.001583118851755,0.008420345989180728,1.215820757388365,5.428674663273648e-05,,
3,-6,0.0,0.0003,1.3485905890701537,0.00012673333291956894,2.0,0.0,16.995691221478747,0.030192132753406518,1.2157679161569057,0.00016640455996064539,,
3,-6,0.0,0.001,1.3485451888885138,0.0004614262866861897,2.0,0.0,17.004879048717033,0.118817323008023,1.2159111988564817,0.0006705737533968643,,
3,-6,0.0,0.003,1.3487841238790668,0.00127100715262219,2.0,0.0,17.01446084995363,0.25426961688594546,1.2156374685247486,0.0014880407994065192,,
3,-6,0.0,0.01,1.348742727584571,0.003827913491978565,2.0,0.0,17.27988786733656,0.9107416137689239,1.2169719302419406,0.005376121517768727,,
3,-6,0.03,0.0,1.3492155182282657,0.0,2.0,0.0,16.8621025075229,0.0,1.214510166559358,0.0,,
3,-6,0.03,0.0001,1.3492056637615897,4.210662593433015e-05,2.0,0.0,16.861164313115943,0.009352729013760452,1.214524486533509,5.391299684801534e-05,,
3,-6,0.03,0.0003,1.349221160474356,0.000135168567024689,2.0,0.0,16.871855908800352,0.028439523922312374,1.2145545464879444,0.00019724243019655525,,
3,-6,0.03,0.001,1.3492137617520716,0.0004547119208621558,2.0,0.0,16.860708563243527,0.08941415766454754,1.2144999188609398,0.0006254068657542707,,
3,-6,0.03,0.003,1.349289987028793,0.0013520023895029652,2.0,0.0,16.8271990944111,0.20903644976939453,1.2142201202139649,0.001247041604455066,,
3,-6,0.03,0.01,1.3494836743195808,0.005174040069984768,2.0,0.0,16.888733529253262,0.9949774768395483,1.213812487208924,0.0061682659423587085,,
3,-6,0.07,0.0,1.3479505905871698,0.0,2.0,0.0,16.700658825255985,0.0,1.214038505527495,0.0,,
3,-6,0.07,0.0001,1.3479445145511755,4.099398785622543e-05,2.0,0.0,16.70027871688549,0.007301582283911662,1.214036296707291,5.18367223128261e-05,,
3,-6,0.07,0.0003,1.3479754185734483,0.00010886746695271403,2.0,0.0,16.698697992391924,0.028334684686871933,1.2140150268658283,0.00018966043258060095,,
3,-6,0.07,0.001,1.3478548385348323,0.000421117009797991,2.0,0.0,16.713343970495234,0.0912185074233949,1.214189045805614,0.0004864187657330155,,
3,-6,0.07,0.003,1.3481573123663586,0.0011400952465490468,2.0,0.0,16.724067671350564,0.26721534049700657,1.21408153085781,0.0013741759297688843,,
3,-6,0.07,0.01,1.348177728141644,0.003604539269682533,2.0,0.0,16.86624231435364,0.8439597799979128,1.2142002250128863,0.005340565246673799,,
3,-6,0.1,0.0,1.345412011335272,0.0,2.0,0.0,16.596778048561426,0.0,1.214664261872673,0.0,,
3,-6,0.1,0.0001,1.3454098595703126,4.2821839588453376e-05,2.0,0.0,16.597594580428893,0.007939904258367185,1.2146647911179835,5.152916142171269e-05,,
