p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.0,1.85,1.456875,2.4691489067088,0.05427182843631401,0.9999999999999998,18.42576579437458,18.42576579437457,18.425765794374584,339.5088451091442,2.5308510932912
1.0,1.9,1.4962499999999996,2.4007475258090385,0.05016187514914763,1.0000000000000009,19.93545889236943,19.935458892369443,19.93545889236941,397.42252124935123,2.5992524741909615
1.0,1.9500000000000002,1.5356249999999998,2.332346144909276,0.04636316466528041,1.0,21.56884688997216,21.568846889972146,21.56884688997216,465.21515616306147,2.667653855090724
1.0,2.0,1.5749999999999997,2.263944764009514,0.04285212686704021,0.9999999999999996,23.336064580942704,23.33606458094269,23.336064580942715,544.5719101259284,2.736055235990486
1.1,0.1,0.07766830743600184,4.865076330647116,0.856126943912838,0.9999999999999991,1.168051078301082,1.1680510783010807,1.1680510783010831,1.36434332152032,0.13492366935288358
1.1,0.125,0.0970853842950023,4.831345413308895,0.8235172613786548,1.0000000000000002,1.2143036301702947,1.214303630170295,1.2143036301702945,1.474533306244756,0.16865458669110425
1.1,0.15000000000000002,0.11650246115400277,4.797614495970675,0.7921496743100344,1.0000000000000002,1.2623876931730162,1.262387693173016,1.262387693173016,1.5936226878746889,0.20238550402932523
1.1,0.17500000000000002,0.13591953801300322,4.763883578632454,0.7619768715703547,1.0,1.3123757915894536,1.312375791589454,1.3123757915894536,1.7223302183500457,0.23611642136754582
1.1,0.2,0.15533661487200368,4.730152661294234,0.7329533440935356,1.0000000000000004,1.3643433215203187,1.36434332152032,1.364343321520318,1.8614326989770966,0.2698473387057665
1.1,0.225,0.17475369173100413,4.696421743956012,0.7050353162435775,1.0000000000000004,1.4183686646053308,1.4183686646053313,1.4183686646053302,2.011769668734309,0.30357825604398764
1.1,0.25,0.1941707685900046,4.6626908266177916,0.6781806797885996,0.9999999999999998,1.4745333062447565,1.4745333062447556,1.4745333062447568,2.1742484712250922,0.3373091733822086
1.1,0.275,0.21358784544900508,4.628959909279571,0.6523489303897927,1.0000000000000009,1.5329219585022973,1.5329219585022988,1.532921958502296,2.3498497308585193,0.37104009072042937
1.1,0.30000000000000004,0.23300492230800554,4.595228991941349,0.6275011065094932,0.9999999999999996,1.5936226878746889,1.5936226878746882,1.5936226878746895,2.539633271308948,0.40477100805865046
1.1,0.325,0.252421999167006,4.561498074603128,0.6035997306462351,1.0000000000000004,1.6567270481207221,1.6567270481207228,1.6567270481207215,2.7447445119748015,0.43850192539687133
1.1,0.35,0.27183907602600643,4.527767157264908,0.5806087528081445,0.9999999999999993,1.7223302183500468,1.722330218350046,1.722330218350048,2.9664213810417204,0.47223284273509225
1.1,0.375,0.2912561528850069,4.494036239926687,0.5584934961394216,1.0000000000000002,1.7905311465800147,1.790531146580016,1.7905311465800142,3.2060017868731436,0.5059637600733131
1.1,0.4,0.31067322974400735,4.460305322588466,0.5372206046178964,1.0000000000000004,1.861432698977098,1.8614326989771,1.861432698977097,3.4649316928211653,0.5396946774115339
1.1,0.42500000000000004,0.33009030660300787,4.4265744052502445,0.5167579927447731,1.0000000000000004,1.9351418150079789,1.9351418150079795,1.935141815007978,3.744773844192374,0.5734255947497553
1.1,0.45000000000000007,0.3495073834620083,4.392843487912024,0.49707479715068076,0.9999999999999996,2.01176966873431,2.0117696687343103,2.0117696687343107,4.047217200039357,0.6071565120879759
1.1,0.475,0.36892446032100873,4.359112570573803,0.47814133004503934,1.0000000000000013,2.091431836494458,2.091431836494462,2.0914318364944555,4.374087126702585,0.6408874294261966
