N_gen,winding,asym,noise_strength,T_STEPS,N_MONTE,kappa0,tau_decoh_mean,tau_decoh_std,final_survival_mean,final_survival_std
5,12,0.03,0.001,300,30,1.263324391262861,279.56666666666666,57.37286427881701,0.7575018023986562,0.17837673590903558
5,12,0.07,0.001,300,30,1.3170850029357548,294.8666666666667,33.029010817091624,0.8495756610719226,0.11246108277339584
5,12,0.1,0.001,300,30,1.3716416680570218,301.0,0.0,0.8860717869653734,0.10284437922501141
6,-12,-0.1,0.001,300,30,1.2867071197399955,301.0,0.0,0.9004034945398112,0.10601434546338727
6,-12,-0.07,0.001,300,30,1.2546353150010547,301.0,0.0,0.884006612480969,0.09347863159282006
6,-12,-0.03,0.001,300,30,1.2376146550742364,301.0,0.0,0.922516459053853,0.045676305404843305
6,-12,0.0,0.001,300,30,1.2445941010605166,301.0,0.0,0.8372214686138876,0.08863788008385243
6,-12,0.03,0.001,300,30,1.2726682007092591,301.0,0.0,0.9353860620841759,0.038990677084845195
6,-12,0.07,0.001,300,30,1.334918089538806,301.0,0.0,0.9676166027227796,0.01419542975552702
6,-12,0.1,0.001,300,30,1.3944320612228978,301.0,0.0,0.9687036182947858,0.01287793781436892
6,-10,-0.1,0.001,300,30,4.268563948507315,301.0,0.0,0.9843027986721922,0.007707656061436983
6,-10,-0.07,0.001,300,30,4.122915386099744,301.0,0.0,0.9704097342332785,0.013695310883863965
6,-10,-0.03,0.001,300,30,3.9586494764298,301.0,0.0,0.8922546965633703,0.07453515433763193
6,-10,0.0,0.001,300,30,3.8975985289878046,301.0,0.0,0.8935894010146463,0.057079000334421946
6,-10,0.03,0.001,300,30,3.892086489784478,301.0,0.0,0.9216992109858493,0.05153867857992305
6,-10,0.07,0.001,300,30,3.912330017649822,301.0,0.0,0.960542398566498,0.029694502996320635
6,-10,0.1,0.001,300,30,3.9351724392376854,301.0,0.0,0.9738212886699225,0.017250211557586423
6,-8,-0.1,0.001,300,30,35.62441032145169,301.0,0.0,0.9941332670697864,0.0033120855833293048
6,-8,-0.07,0.001,300,30,34.43943245322543,301.0,0.0,0.9879692022965164,0.008766967899805796
