kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.3,13.154224732792393,1.987403759862374,0.24400397089893092,2.9690845527629434e-05,2.9690845527629434e-05,3.1750238175354456e-16,0.0,2.167506723234517
0.42,2.4,0.23,0.015,0.24,0.19333333333333333,0.1,13.153958129819125,2.0541168168378845,0.2210189754198469,1.0733073516028951e-05,1.0733073516028951e-05,1.561070417558638e-16,0.0,2.1854926072083076
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.4,13.154328191154494,1.9729424082396534,0.2315199374055496,3.062600171254912e-05,3.062600171254912e-05,2.5232922988672316e-16,0.0,2.1948373941273105
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.35,13.154301964017296,1.965765611128807,0.201845992977863,2.675030780352125e-05,2.675030780352125e-05,2.562786081628974e-16,0.0,2.2218517119752503
0.42,2.4,0.23,0.015,0.36,0.14,0.1,13.153916321697,2.0663740614852775,0.19271008507087356,8.671942163002155e-06,8.671942163002155e-06,3.313709234260491e-16,0.0,2.2879788928445928
0.42,2.4,0.23,0.015,0.12,0.22,0.2,13.15400940778817,2.053168559683541,0.28014715521086564,2.329886397418185e-05,2.329886397418185e-05,2.2535073691434855e-16,0.0,2.2901117536218893
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.2,13.154190355006895,1.9778610832187453,0.20659550707182442,1.966135463769489e-05,1.966135463769489e-05,5.116746934055263e-16,0.0,2.29069892129007
0.42,2.4,0.23,0.015,0.2,0.22,0.3,13.153687365441579,2.187089112183387,0.31185539080212715,3.6424810742667624e-05,3.6424810742667624e-05,2.2602076412228036e-16,0.0,2.3017327511984766
0.42,2.4,0.23,0.015,0.36,0.22,0.35,13.152414950959162,2.590528657489503,0.30281957683287836,4.544047833436593e-05,4.544047833436593e-05,6.045841854185798e-16,0.0,2.3192521253588216
0.42,2.4,0.23,0.015,0.12,0.22,0.1,13.153972055898613,2.0518176876311878,0.24529093435597335,1.1431410945977882e-05,1.1431410945977882e-05,2.4102221537342276e-16,0.0,2.326026396488462
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.45,13.15357480573867,2.2606123062589596,0.3069470724615666,4.6590651100617e-05,4.6590651100617e-05,3.5027295272726026e-16,0.0,2.329269604151941
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.4,13.153426171386968,2.296033343916651,0.31176840933732364,4.588712007503812e-05,4.588712007503812e-05,1.3829592649683847e-16,0.0,2.3373116854346647
0.42,2.4,0.23,0.015,0.28,0.22,0.35,13.153156061807328,2.371122905652316,0.3189853948134594,4.4024164363033746e-05,4.4024164363033746e-05,2.9031687059046133e-16,0.0,2.352355689821304
0.42,2.4,0.23,0.015,0.32,0.14,0.3,13.154313709027887,1.9501205831039643,0.21039379613028905,2.629273690552686e-05,2.629273690552686e-05,2.5000658307807537e-16,0.0,2.371557043528173
0.42,2.4,0.23,0.015,0.32,0.14,0.35,13.154337202538372,1.9561727108971816,0.23618819355758774,3.073805462901896e-05,3.073805462901896e-05,2.239425295660772e-16,0.0,2.3922251947348174
0.42,2.4,0.23,0.015,0.2,0.19333333333333333,0.2,13.154224704503022,1.9688036874893295,0.24102167511932135,2.1500747175863533e-05,2.1500747175863533e-05,3.339456741744064e-16,0.0,2.4558737130997215
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.3,13.154282878853513,1.9586113590200103,0.17715515757189376,2.287455387082679e-05,2.287455387082679e-05,3.3727325213528156e-16,0.0,2.53002710083742
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.45,13.154361560334435,1.9801415133595996,0.26450515691606885,3.450162690109976e-05,3.450162690109976e-05,3.147939138696102e-16,0.0,2.558708081286203
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.35,13.154252634521795,1.9922299631499538,0.27058964351594095,3.470549654163019e-05,3.470549654163019e-05,5.44836522359476e-16,0.0,2.560584625639445
0.42,2.4,0.23,0.015,0.2,0.19333333333333333,0.25,13.15424620798742,1.971580536225075,0.2619829654067107,2.6975251159706143e-05,2.6975251159706143e-05,3.2992883147020873e-16,0.0,2.5750583143535772
0.42,2.4,0.23,0.015,0.32,0.14,0.25,13.154297357462088,1.9440988124277043,0.19038919714727381,2.184736014122779e-05,2.184736014122779e-05,3.1544552448204245e-16,0.0,2.5976517663407206
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.15,13.154183878859726,1.9731451296739282,0.19876188871047187,1.4646537296564982e-05,1.4646537296564982e-05,3.158322427848835e-16,0.0,2.6107828168908376
0.42,2.4,0.23,0.015,0.2,0.19333333333333333,0.15,13.154210342869343,1.96607154814215,0.225941607860645,1.6026194850936315e-05,1.6026194850936315e-05,4.609895042573539e-16,0.0,2.617520811380967
0.42,2.4,0.23,0.015,0.32,0.14,0.4,13.154367838055684,1.9622549218122562,0.2660939403881921,3.518330332934888e-05,3.518330332934888e-05,2.2740845285636955e-16,0.0,2.7698158032642186
0.42,2.4,0.23,0.015,0.24,0.22,0.35,13.15346170938467,2.2749612546413105,0.32874440218524115,4.330445751381598e-05,4.330445751381598e-05,4.842148378307561e-16,0.0,2.825099332364541
0.42,2.4,0.23,0.015,0.12,0.22,0.25,13.154038796364716,2.053913476965598,0.30478270015986014,2.9232518541151553e-05,2.9232518541151553e-05,2.5880321457154573e-16,0.0,2.830645524676389
0.42,2.4,0.23,0.015,0.24,0.19333333333333333,0.35,13.154048260433356,2.0715552137283657,0.30502977423954,3.865204505742667e-05,3.865204505742667e-05,3.427759652339862e-16,0.0,2.85430151843023
0.42,2.4,0.23,0.015,0.32,0.14,0.2,13.154288147797669,1.9381076750613884,0.17813577531000535,1.7401934318549833e-05,1.7401934318549833e-05,3.173869966007276e-16,0.0,2.9417816402478483
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.25,13.154270935612649,1.9514798918147787,0.15977458293372696,1.8998748611397803e-05,1.8998748611397803e-05,3.389466395876861e-16,0.0,2.9666336477705983
0.42,2.4,0.23,0.015,0.2,0.19333333333333333,0.1,13.154203123048287,1.9633843016508647,0.2179668821939319,1.0551606493755528e-05,1.0551606493755528e-05,3.9901150032235344e-16,0.0,2.9796592321581126
