Nmodes,spread,skew,penalty,cond,entropy,cp,unitarity_residual,fragility,collapse,survival_cost,viability
6,0.9133333333333333,0.20000000000000007,0.1,11.011886184556511,3.435554258337552,0.016594664145548516,2.3406325168542486e-15,2.4386154058803366e-15,False,-0.9206490346387248,12.60224113779994
2,2.16,0.5,0.1,1.2044082041594315,2.129141364455172,0.039623348842685625,8.608703982599288e-16,6.953569173666357e-17,False,-0.9204414590238729,12.569360721434883
2,2.2733333333333334,0.30000000000000004,0.25263157894736843,1.2333469253711413,2.1556612390691607,0.04044821682234535,9.50197851991224e-16,8.654901411867709e-17,False,-0.9203864660764101,12.560678451477386
2,2.3866666666666667,0.4,0.4052631578947369,1.2518114972475192,2.1422797826896307,0.04238703526035024,1.3877787807814457e-15,1.3536246569189957e-16,False,-0.9199113610516085,12.486165492765993
2,2.3866666666666667,0.30000000000000004,0.4052631578947369,1.256840010192641,2.1565215106552733,0.04195333830010376,5.240587849369761e-16,5.202855489217854e-17,False,-0.918429235336097,12.259294173841718
5,2.2733333333333334,0.5,0.1,16.107647361571114,2.878089743507109,0.031947672578233874,1.923522158500242e-15,2.3217530157617574e-15,False,-0.9182959503390897,12.239295410083336
4,2.3866666666666667,0.4,0.1,5.989512440935904,2.84779080554969,0.02836257435254867,1.7307746285719717e-15,1.3454894350508673e-15,False,-0.9178342977796268,12.170528249341087
4,2.3866666666666667,0.30000000000000004,0.1,6.05174133084703,2.849356760410739,0.028360678636561342,1.6290559302386727e-15,1.2737268318672242e-15,False,-0.9177579407953421,12.15922861940407
2,2.16,0.30000000000000004,0.1,1.208514288644236,2.1550785454208823,0.038652042109635416,1.1581094996895894e-15,9.525657887231587e-17,False,-0.9170648784941515,12.05761783238578
6,1.0266666666666666,-0.09999999999999998,0.1,23.248169034688036,3.393774768415893,0.020423712623950797,1.557966563894228e-15,2.128787993055765e-15,False,-0.9160419428765421,11.910709159569144
