Nmodes,spread,skew,effective_rank,singular_min,singular_max,condition_number,qr_residual,svd_residual,entropy,collapse,stability_score
4,0.9133333333333333,0.30000000000000004,4,0.6272451682844452,1.2861724153108822,2.0505098808949684,5.326646323211007e-16,1.4021652998610689e-15,2.9598493937473944,False,-0.14175523235966417
6,1.0266666666666666,-0.3,6,0.067837666883088,1.6375857229045105,24.139770692980044,1.3561983654824678e-15,2.9915117678710207e-15,3.387569608172679,False,-0.14172381760147792
4,0.9133333333333333,0.4,4,0.6242920443577857,1.2876417190423473,2.0625630755345514,4.535829210951031e-16,2.0905195721530345e-15,2.9580406985783396,False,-0.14161389015598808
4,0.9133333333333333,-0.5,4,0.6083813577444418,1.3009441157430939,2.1383694605079793,9.28279096970137e-16,1.1026948219652078e-15,2.9630535749646034,False,-0.1415510238814027
4,0.9133333333333333,0.5,4,0.6192108426322002,1.2903157477662512,2.083806772958391,4.905434837902066e-16,1.753005297353142e-15,2.955784788460271,False,-0.1414120905174918
6,1.0266666666666666,0.30000000000000004,6,0.06950238875738315,1.6428759256363406,23.637690085318397,1.641051179581659e-15,3.803952143419359e-15,3.3763752225030013,False,-0.1413466604391791
6,1.0266666666666666,-0.4,6,0.06582350474340018,1.6400578892645497,24.9159915695463,9.376268309199185e-16,2.3626852295414156e-15,3.3818708435384304,False,-0.141163978671791
5,1.0266666666666666,0.10000000000000009,5,0.23270989890023097,1.5229612507574064,6.544462689188572,1.0686241579867432e-15,1.90999918241252e-15,3.149059164821337,False,-0.14113547831943063
5,1.0266666666666666,0.0,5,0.2300761790820198,1.522865620717603,6.61896258358288,6.772579064500087e-16,1.7703870843852031e-15,3.151006203323659,False,-0.1411345116448528
5,1.0266666666666666,0.20000000000000007,5,0.23468793004569566,1.5237823533309398,6.492802390963383,1.2154892250858976e-15,1.808683624984632e-15,3.1469357278699595,False,-0.1410981426878653
5,1.0266666666666666,-0.09999999999999998,5,0.2267309217812284,1.5234343054219728,6.719128972147555,6.017165383157155e-16,2.017257413457978e-15,3.1523484310451795,False,-0.14107116200519176
5,1.0266666666666666,0.5,5,0.2367569906352001,1.5317520835562308,6.469722728974812,5.82546902200315e-16,2.0813017689421334e-15,3.145760589925877,False,-0.14107031612358656
5,1.0266666666666666,0.30000000000000004,5,0.2360360569421587,1.5254201276194177,6.462657220177281,9.13542342577877e-16,1.7290189994855053e-15,3.145090634203745,False,-0.14104630927975037
5,1.0266666666666666,0.4,5,0.23674568636360754,1.5280093991163868,6.454222767842041,9.045973757645877e-16,2.0252327440442736e-15,3.144144554119264,False,-0.141010348685486
5,1.0266666666666666,-0.19999999999999996,5,0.22258439086691995,1.5246293021538027,6.84966855140061,1.246269491188822e-15,1.813304715212115e-15,3.1527113235104762,False,-0.14092217503700188
5,1.0266666666666666,-0.3,5,0.2175011291686487,1.5264337318242136,7.018049688563358,1.1017230366493852e-15,2.1796136051934296e-15,3.151849274474838,False,-0.14066813494887961
6,1.0266666666666666,0.4,6,0.06780700152507903,1.6472760908189665,24.29359879908134,6.819105412255789e-16,2.2884412053266507e-15,3.3633047665343203,False,-0.14045540122714262
6,1.0266666666666666,-0.5,6,0.06319780497567992,1.6437120243546282,26.009004980270582,6.769052201942794e-16,2.3736616238680624e-15,3.3751161877126097,False,-0.14045333462917153
5,1.0266666666666666,-0.4,5,0.21127707960235412,1.5288542675562198,7.236252367903257,6.45904433442543e-16,2.3295159703361778e-15,3.1499073079014117,False,-0.140305091301305
5,1.0266666666666666,-0.5,5,0.20359933874120922,1.5319289491361225,7.524233421422477,7.953560526330238e-16,1.6971403618664943e-15,3.147236154944389,False,-0.13983256254643034
4,1.0266666666666666,0.10000000000000009,4,0.5478533672219621,1.3387287368809284,2.4435895021861644,7.035881025716923e-16,2.2938646746194812e-15,2.951384017157849,False,-0.1398086358437368
4,1.0266666666666666,0.0,4,0.5471785310002704,1.3399161445726089,2.4487732406517733,1.2417573045567126e-15,1.960567558077949e-15,2.95161012598449,False,-0.1398015348833192
4,1.0266666666666666,0.20000000000000007,4,0.5472762635923354,1.3383063884518056,2.445394542908052,6.590762185774788e-16,1.3315090367468179e-15,2.95088712894619,False,-0.13977737767313014
4,1.0266666666666666,-0.09999999999999998,4,0.5453844467562905,1.3418299828874647,2.4603378238380023,1.0424555118969553e-15,1.8712078665396812e-15,2.9514886398462004,False,-0.13975453712702268
4,1.0266666666666666,0.30000000000000004,4,0.5452093204047717,1.3387450446537619,2.4554698435086495,8.56283300114056e-16,2.110112762432442e-15,2.950148727036361,False,-0.1397047442562823
4,1.0266666666666666,-0.19999999999999996,4,0.5425170681462246,1.344482590039173,2.47823095157772,5.437358533468816e-16,1.6040574416098114e-15,2.9508791717914287,False,-0.139661123054644
4,1.0266666666666666,0.4,4,0.541265710150367,1.3402153570271251,2.476076595827223,6.326225191290662e-16,1.6522438608843065e-15,2.9491245247403364,False,-0.13958094473352162
