N_gen,eps_H,eps_D,kappa0,width_mean,width_std,max_imag_mean,gap_min_mean,final_imag_mean
5,0.001,0.0003,120.48090401739432,0.0010771451948498052,0.0002869565848986716,0.0037310184055447475,0.14941689407380324,0.0015500047201332822
5,0.001,0.001,120.48090401739432,0.0032879650474186574,0.0007079307741922313,0.011727072064543587,0.15002499865162516,0.005103036324047507
5,0.001,0.003,120.48090401739432,0.01056625852394214,0.0024593445594342967,0.039848328366152035,0.13466312665323552,0.015125513473981408
5,0.001,0.01,120.48090401739432,0.03414202209502766,0.00836804890371258,0.11869226710246647,0.07249612532071432,0.04910567482849682
5,0.003,0.0001,120.48090401739432,0.00030889593434646354,7.37407172800852e-05,0.0011770384094812966,0.1291757107961147,0.00047755758879439327
5,0.003,0.0003,120.48090401739432,0.0010021551800253159,0.00027638863935272926,0.0035640486385004845,0.12961737713907379,0.001543017560537549
5,0.003,0.001,120.48090401739432,0.0033390026589849827,0.0009064168816447731,0.01119784922391814,0.1328659945587749,0.004882049260868199
5,0.003,0.003,120.48090401739432,0.010785827807011495,0.0032619536561898812,0.03781775578260807,0.12676401118020747,0.01658098781398726
5,0.003,0.01,120.48090401739432,0.036500533935540584,0.010134347915857655,0.12547841654984754,0.08783557808191886,0.051643243358760596
5,0.01,0.0001,120.48090401739432,0.0003037980611058995,5.794369104177962e-05,0.0012315107774773164,0.09337305211131945,0.0004826435195573565
5,0.01,0.0003,120.48090401739432,0.0009658416633267794,0.0002011644308998897,0.0037354278802693764,0.08670648150124771,0.0014503162236058056
5,0.01,0.001,120.48090401739432,0.0038430902728782274,0.001105673877014856,0.012768721330642777,0.09888642759166609,0.005925371479292855
5,0.01,0.003,120.48090401739432,0.010870184195338492,0.002051321127453543,0.03980799321126076,0.07690874773140588,0.01632187921143311
5,0.01,0.01,120.48090401739432,0.03968360719558525,0.010247116793868614,0.1401844542483015,0.0794749741252538,0.06253869916479857
6,0.001,0.0001,135.45931566503225,0.0002956960307991326,6.843334139396362e-05,0.00105385318732557,0.029319131860824334,0.0004542451484449591
6,0.001,0.0003,135.45931566503225,0.0009134204293340511,0.00018472570443364892,0.003361179163733219,0.02929757650191387,0.0013842153681817054
6,0.001,0.001,135.45931566503225,0.003236476739634038,0.000781775871789727,0.011297579602856576,0.025407955356016792,0.004661382146486151
6,0.001,0.003,135.45931566503225,0.009498005132654351,0.0023170404418967365,0.03450722941136198,0.02099409042227667,0.015086798438066826
6,0.001,0.01,135.45931566503225,0.034032320108623206,0.007788140564886878,0.1321131145679222,0.020044631134202063,0.05457849307571607
6,0.003,0.0001,135.45931566503225,0.00031952888858264846,6.169334026614436e-05,0.0011953116417029704,0.028588729728611456,0.0004674226308854491
6,0.003,0.0003,135.45931566503225,0.0009180638140925141,0.00019844133949730906,0.003458633525171071,0.02127475159060807,0.0014067020936493638
6,0.003,0.001,135.45931566503225,0.00298283306299711,0.0009052900132927057,0.011159911833026918,0.022611068560442035,0.004642903817404699
6,0.003,0.003,135.45931566503225,0.008557831745786266,0.0015708957656292667,0.033347637124623734,0.020988786701015352,0.013362378272350641
6,0.003,0.01,135.45931566503225,0.03429861505349657,0.007039581918341489,0.13517694288172089,0.022806723325489314,0.05728296700821454
6,0.01,0.0001,135.45931566503225,0.0003026808680757187,5.756210969730612e-05,0.0010633910379243268,0.020640921244782152,0.00046827825611221935
6,0.01,0.0003,135.45931566503225,0.0008805791142456994,0.00018669861495999418,0.0033117214979304353,0.022163648925942234,0.0013340256453989194
6,0.01,0.001,135.45931566503225,0.003150876617262657,0.0005835162340398599,0.011774964221511162,0.024438497431410834,0.0044785937738109054
6,0.01,0.003,135.45931566503225,0.008887331323274116,0.0016564005340614844,0.03319808221229951,0.022629780918832935,0.013116794269009021
6,0.01,0.01,135.45931566503225,0.03513164865726776,0.008223241564117073,0.12830782545125669,0.024188667374595872,0.053989300805895125
7,0.001,0.0001,153.4784763340595,0.0002723415771136403,6.0643009151962054e-05,0.0010103243965765454,0.007606697619218947,0.00037502620949082056
7,0.001,0.0003,153.4784763340595,0.0007998075649060419,0.0001440873323573232,0.003163259189960809,0.008551055334849855,0.001250823487716028
7,0.001,0.001,153.4784763340595,0.002957819143905862,0.0006156404291978271,0.011311997599683784,0.0076897998193267425,0.004476287458619503
7,0.001,0.003,153.4784763340595,0.00885896328979413,0.0019959579616232637,0.033547754493178226,0.005975814087672889,0.014208744388951746
7,0.001,0.01,153.4784763340595,0.036269587893793434,0.0057201258708745335,0.14188877711286338,0.007837482398259234,0.057786388204848035
7,0.003,0.0001,153.4784763340595,0.0002652242949853826,5.326273858949159e-05,0.001085025207825135,0.00766732375942669,0.00040678837268654953
7,0.003,0.0003,153.4784763340595,0.0008221370831400374,0.00014833074290552994,0.0032205148300045645,0.006217158245585612,0.0012636476221374632
7,0.003,0.001,153.4784763340595,0.0029286449943328853,0.0005554985294786888,0.011419002606741736,0.00811388221843171,0.004250542905785722
7,0.003,0.003,153.4784763340595,0.008849057457213632,0.0014780802230480766,0.03421001756308001,0.006602162411352808,0.014712133284716666
7,0.003,0.01,153.4784763340595,0.03619889396261307,0.007168383618389868,0.14740864413919583,0.00897252828017077,0.05848804330114936
7,0.01,0.0001,153.4784763340595,0.0002884125925962057,4.971204823468843e-05,0.001104142669367,0.00893558817442209,0.0004011663504416713
