kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.34,0.2,0.24,13.153020483506394,2.385326847885071,0.2477268439653136,2.8345917493902834e-05,2.8345917493902834e-05,3.340211348067096e-16,0.0,0.32391821962380285
0.42,2.4,0.23,0.015,0.38,0.19,0.27999999999999997,13.152831050661177,2.4493683799883788,0.24527781107101385,3.2325054828676036e-05,3.2325054828676036e-05,3.3465329262703774e-16,0.0,0.32577835837827107
0.42,2.4,0.23,0.015,0.34,0.2,0.2,13.153013401828694,2.3815105332967343,0.24061578081091456,2.3525112420572786e-05,2.3525112420572786e-05,1.1463006591502857e-16,0.0,0.3277563844603667
0.42,2.4,0.23,0.015,0.34,0.19,0.26,13.153233762288249,2.3206854448409358,0.24262760779475578,2.94673498469622e-05,2.94673498469622e-05,2.516963609355281e-16,0.0,0.3307251623822027
0.42,2.4,0.23,0.015,0.38,0.17,0.2,13.153203039052576,2.318990385902844,0.21184229207362276,2.0942604216464544e-05,2.0942604216464544e-05,3.292047738549117e-16,0.0,0.33140514662409093
0.42,2.4,0.23,0.015,0.36,0.18,0.2,13.153223232226878,2.3133412882696156,0.22076103096591196,2.1743664069099472e-05,2.1743664069099472e-05,3.166549011178851e-16,0.0,0.3317787885814752
0.42,2.4,0.23,0.015,0.44,0.17,0.27999999999999997,13.152519940916502,2.5397217750108316,0.22241839997740295,3.034852465072166e-05,3.034852465072166e-05,3.475752633596709e-16,0.0,0.33430167020951496
0.42,2.4,0.23,0.015,0.38,0.18,0.18,13.153015961351022,2.3766458531306953,0.22190644386537905,1.9679607831408347e-05,1.9679607831408347e-05,2.5110983669592343e-16,0.0,0.3348872385854313
0.42,2.4,0.23,0.015,0.36,0.2,0.24,13.152822800076738,2.4459210870010555,0.2470925194013443,2.8577663913457313e-05,2.8577663913457313e-05,2.333162769927201e-16,0.0,0.33587316951408763
0.42,2.4,0.23,0.015,0.44,0.17,0.24,13.152516079820565,2.5345790426475254,0.21812039411801762,2.5920130130436397e-05,2.5920130130436397e-05,2.1590883837938058e-16,0.0,0.33787764170726714
0.42,2.4,0.23,0.015,0.44,0.16,0.2,13.152692944776533,2.476455299526642,0.20903797235811888,2.0502473807092886e-05,2.0502473807092886e-05,4.502889896693053e-16,0.0,0.3387601894397517
0.42,2.4,0.23,0.015,0.4,0.17,0.18,13.152985784038997,2.3853787951546788,0.21449834957890643,1.8956754460765224e-05,1.8956754460765224e-05,4.873203053393732e-16,0.0,0.34306221580747337
0.42,2.4,0.23,0.015,0.42,0.18,0.22,13.152569347831976,2.5170054764334604,0.22603155810117181,2.459205089903882e-05,2.459205089903882e-05,1.940953252181443e-16,0.0,0.34387363572628865
