kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.38,0.18,0.27999999999999997,13.153028172153064,2.3879649199132147,0.23501121410474926,3.093265157909711e-05,3.093265157909711e-05,4.986507817582187e-16,0.0,0.19476341203204892
0.42,2.4,0.23,0.015,0.42,0.17,0.3,13.152766628411577,2.470515205236839,0.22744275173322978,3.2272719245971665e-05,3.2272719245971665e-05,4.114221399643817e-16,0.0,0.2064688988028107
0.42,2.4,0.23,0.015,0.4,0.16,0.24,13.153163057771938,2.3366260629994846,0.20573865244885958,2.4275959507519262e-05,2.4275959507519262e-05,1.2758328046339972e-16,0.0,0.20682739034945458
0.42,2.4,0.23,0.015,0.38,0.17,0.24,13.153206501389294,2.323694190692989,0.21581231799927736,2.5240426069137595e-05,2.5240426069137595e-05,5.044049696921791e-16,0.0,0.20916991118266745
0.42,2.4,0.23,0.015,0.42,0.16,0.22,13.152932143178953,2.4060075230632663,0.2056299485811336,2.241190934227505e-05,2.241190934227505e-05,2.738462042196506e-16,0.0,0.21209616587719096
0.42,2.4,0.23,0.015,0.4,0.18,0.22,13.152798791375194,2.4483654861002315,0.22453417923491578,2.4387370767230132e-05,2.4387370767230132e-05,3.980501766760762e-16,0.0,0.2153910521480315
0.42,2.4,0.23,0.015,0.4,0.18,0.27999999999999997,13.152807459737621,2.4554045556405275,0.23380840136801026,3.1204482077027557e-05,3.1204482077027557e-05,1.381397811387319e-16,0.0,0.2189781658648361
0.42,2.4,0.23,0.015,0.38,0.17,0.3,13.153220264460423,2.3307813183356085,0.2309195580770037,3.1687088902269955e-05,3.1687088902269955e-05,6.917084105457407e-16,0.0,0.2212135398898318
0.42,2.4,0.23,0.015,0.36,0.19,0.24,13.153030961978244,2.3809738797393174,0.23674065826686172,2.7390495734636033e-05,2.7390495734636033e-05,1.5744467240951787e-16,0.0,0.22304363677439853
0.42,2.4,0.23,0.015,0.42,0.17,0.22,13.152756125257087,2.4604898778653967,0.2158232488449747,2.3502954659599534e-05,2.3502954659599534e-05,5.500818297092181e-16,0.0,0.22371524144591842
0.42,2.4,0.23,0.015,0.44,0.16,0.24,13.152691956214966,2.4817535752457873,0.20787520474820262,2.4727513919010208e-05,2.4727513919010208e-05,5.331576722887564e-16,0.0,0.2238257285385449
0.42,2.4,0.23,0.015,0.36,0.19,0.22,13.153027684833349,2.3788837564847607,0.23332194463167996,2.505998198290907e-05,2.505998198290907e-05,3.866006505510396e-16,0.0,0.2324182645277032
0.42,2.4,0.23,0.015,0.38,0.19,0.24,13.152822459253192,2.445002625066529,0.2365336775864045,2.762051065969759e-05,2.762051065969759e-05,3.3429692791255354e-16,0.0,0.23725101262110573
0.42,2.4,0.23,0.015,0.36,0.18,0.26,13.15323264464928,2.3198790336980966,0.23097818147243543,2.843014234586022e-05,2.843014234586022e-05,1.8851130146235442e-16,0.0,0.23893934485042842
0.42,2.4,0.23,0.015,0.36,0.18,0.24,13.153228364566127,2.3176952348831716,0.22638934149725334,2.620132540266662e-05,2.620132540266662e-05,2.6928823305647585e-16,0.0,0.24001347004658202
0.42,2.4,0.23,0.015,0.38,0.19,0.22,13.152819877411192,2.44282621297917,0.23384205195378496,2.526822326341313e-05,2.526822326341313e-05,3.338030126251232e-16,0.0,0.24739308647947847
0.42,2.4,0.23,0.015,0.36,0.19,0.26,13.153035381715169,2.3830685879165343,0.24127461336191322,2.972099964194258e-05,2.972099964194258e-05,4.649982216269666e-16,0.0,0.24984859716329938
0.42,2.4,0.23,0.015,0.38,0.18,0.2,13.153016118329809,2.378901117202166,0.22207982224344527,2.193023395895971e-05,2.193023395895971e-05,3.492119432363938e-16,0.0,0.25164456071104935
0.42,2.4,0.23,0.015,0.4,0.17,0.2,13.15298510604421,2.3878011821902456,0.21372195266713986,2.1127457838093083e-05,2.1127457838093083e-05,3.4931802768081435e-16,0.0,0.2548797573747758
0.42,2.4,0.23,0.015,0.38,0.17,0.22,13.153204198917347,2.3213401853685705,0.2131804656106524,2.309151929111644e-05,2.309151929111644e-05,5.106768556085362e-16,0.0,0.25966935888423714
0.42,2.4,0.23,0.015,0.38,0.19,0.26,13.152826183669324,2.447183351117401,0.24036336469758499,2.9972788129904726e-05,2.9972788129904726e-05,4.589859996703076e-16,0.0,0.26221334299838567
0.42,2.4,0.23,0.015,0.38,0.18,0.3,13.153034042092337,2.3902414983681264,0.24105747175119885,3.318323021784739e-05,3.318323021784739e-05,3.6655360231047415e-16,0.0,0.2657151979032655
0.42,2.4,0.23,0.015,0.4,0.16,0.22,13.153161590290344,2.334105706819224,0.20398233397015492,2.2206988683725476e-05,2.2206988683725476e-05,8.012657502693558e-17,0.0,0.2691992017686392
0.42,2.4,0.23,0.015,0.4,0.18,0.2,13.152798187066779,2.4460271327450136,0.22387330824964896,2.211498171737769e-05,2.211498171737769e-05,3.5652049370442986e-16,0.0,0.271348257033663
0.42,2.4,0.23,0.015,0.36,0.18,0.22,13.153225227092442,2.315515982250567,0.22296555360692585,2.3972499043414808e-05,2.3972499043414808e-05,2.1815915125452055e-16,0.0,0.2721460161948845
0.42,2.4,0.23,0.015,0.44,0.16,0.22,13.152691879212728,2.479102768673275,0.20778435987532565,2.261499792388655e-05,2.261499792388655e-05,6.721578502129917e-16,0.0,0.2726277699536713
0.42,2.4,0.23,0.015,0.36,0.18,0.27999999999999997,13.153238067343715,2.3220673662506606,0.23666431328208853,3.065894907196623e-05,3.065894907196623e-05,1.4852699210248522e-16,0.0,0.27337083158693853
0.42,2.4,0.23,0.015,0.36,0.19,0.2,13.153025550279084,2.3767982298851056,0.23106797871170523,2.272945922441455e-05,2.272945922441455e-05,3.3326787590938083e-16,0.0,0.27472324190685415
0.42,2.4,0.23,0.015,0.42,0.16,0.2,13.15293251354324,2.403422909109842,0.2060710859121345,2.032115184109895e-05,2.032115184109895e-05,4.129499351254536e-16,0.0,0.28345573152052844
0.42,2.4,0.23,0.015,0.42,0.17,0.2,13.152756355894942,2.457992711709689,0.21608511024569038,2.1310490437447677e-05,2.1310490437447677e-05,3.91872003038535e-16,0.0,0.2875072680593951
0.42,2.4,0.23,0.015,0.4,0.18,0.3,13.152812634341599,2.4577588784588453,0.23917331844921047,3.3476831178717165e-05,3.3476831178717165e-05,2.8510765467598696e-16,0.0,0.2876328019305428
0.42,2.4,0.23,0.015,0.38,0.16,0.27999999999999997,13.153390136436192,2.2708637268645093,0.2145044966296877,2.814175424505766e-05,2.814175424505766e-05,2.621702186798428e-16,0.0,0.2894815354324892
0.42,2.4,0.23,0.015,0.38,0.19,0.2,13.15281843814222,2.4406541260199175,0.23232804607552437,2.2915926786441082e-05,2.2915926786441082e-05,2.531723276487004e-16,0.0,0.29004319558781977
0.42,2.4,0.23,0.015,0.38,0.16,0.3,13.153395727092462,2.273322793654465,0.22080214185702632,3.018890647553743e-05,3.018890647553743e-05,2.696618088181708e-16,0.0,0.2907258705749385
0.42,2.4,0.23,0.015,0.34,0.19,0.24,13.153228647198281,2.3186830152430136,0.23740243533732944,2.715863216437922e-05,2.715863216437922e-05,3.598997312539368e-16,0.0,0.3008616081456872
0.42,2.4,0.23,0.015,0.34,0.2,0.22,13.15301637137299,2.383416246032709,0.24362291936696734,2.593551961887e-05,2.593551961887e-05,3.3381653499223564e-16,0.0,0.3063925643301001
0.42,2.4,0.23,0.015,0.34,0.19,0.22,13.153224674717505,2.3166854572389624,0.2332637267058245,2.48499047197058e-05,2.48499047197058e-05,1.13780289964809e-16,0.0,0.3086465201186027
0.42,2.4,0.23,0.015,0.36,0.19,0.27999999999999997,13.153040944045998,2.385167869303277,0.24686236882617962,3.205149286719319e-05,3.205149286719319e-05,4.644567218320707e-16,0.0,0.3168655741574076
0.42,2.4,0.23,0.015,0.42,0.18,0.24,13.15257039947215,2.5194207977004175,0.227169486505313,2.688618920401037e-05,2.688618920401037e-05,2.813718336386381e-16,0.0,0.3170228660109018
0.42,2.4,0.23,0.015,0.38,0.16,0.26,13.153385688406981,2.2684087384317357,0.20935869671625054,2.6094591904599063e-05,2.6094591904599063e-05,5.353829409807603e-16,0.0,0.31708025357247677
0.42,2.4,0.23,0.015,0.42,0.18,0.26,13.15257259366605,2.521839869692478,0.2295255516224356,2.918031784982303e-05,2.918031784982303e-05,5.256287274397439e-16,0.0,0.31897114434892104
0.42,2.4,0.23,0.015,0.36,0.2,0.22,13.152819383266781,2.4439168423976114,0.24367845554786965,2.614548893033891e-05,2.614548893033891e-05,3.361001553140918e-16,0.0,0.321784190085325
0.42,2.4,0.23,0.015,0.44,0.17,0.26,13.152517439093065,2.53714869799851,0.21964307065758987,2.8134332443238708e-05,2.8134332443238708e-05,2.638783269698464e-16,0.0,0.32353460252273075
