winding,spread,phase_offset,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,Jckm,Jpmns,score
2.5,2.1282051282051286,2.1854557590189865,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190496,0.3494655925106543,0.2377011065844625,2.7743590100378333e-05,-0.013819641751260518,0.8059460041088151
2.5,2.1282051282051286,5.1904574276700925,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819051,0.34946559251065434,0.23770110658446275,2.7743590100378333e-05,-0.013819641751260502,0.8059460041088151
2.5,2.1282051282051286,3.0050016686511065,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.3494655925106544,0.23770110658446272,2.7743590100378333e-05,-0.013819641751260521,0.8059460041088151
2.5,2.1282051282051286,0.8195459096321199,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190496,0.3494655925106543,0.23770110658446253,2.7743590100378333e-05,-0.013819641751260523,0.8059460041088151
2.5,2.0923076923076924,6.010003337302213,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.34398476547642576,0.23535332938395578,2.7743590100378333e-05,-0.014478883551204403,0.8100497655124903
2.5,2.0923076923076924,1.3659098493868664,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.34398476547642587,0.23535332938395595,2.7743590100378333e-05,-0.014478883551204389,0.8100497655124903
2.5,2.0923076923076924,4.917275457792719,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.3439847654764259,0.2353533293839561,2.7743590100378333e-05,-0.0144788835512044,0.8100497655124905
2.5,2.0923076923076924,0.0,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119515,0.343984765476426,0.23535332938395617,2.7743590100378333e-05,-0.014478883551204393,0.8100497655124905
2.5,2.0923076923076924,1.9122737891416133,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119516,0.3439847654764258,0.2353533293839561,2.7743590100378333e-05,-0.014478883551204424,0.8100497655124905
2.5,2.0923076923076924,4.370911518037973,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.34398476547642587,0.23535332938395617,2.7743590100378333e-05,-0.014478883551204375,0.8100497655124905
2.5,2.0923076923076924,1.0927278795094932,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119517,0.34398476547642576,0.2353533293839561,2.7743590100378333e-05,-0.014478883551204413,0.8100497655124905
2.5,2.0923076923076924,0.2731819698773733,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119514,0.34398476547642587,0.23535332938395598,2.7743590100378333e-05,-0.014478883551204396,0.8100497655124905
2.5,2.0923076923076924,5.463639397547466,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.34398476547642565,0.23535332938395592,2.7743590100378333e-05,-0.014478883551204396,0.8100497655124905
2.5,2.0923076923076924,4.644093487915346,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195164,0.3439847654764257,0.23535332938395603,2.7743590100378333e-05,-0.014478883551204379,0.8100497655124905
2.5,2.0923076923076924,3.0050016686511065,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195164,0.3439847654764259,0.2353533293839562,2.7743590100378333e-05,-0.014478883551204406,0.8100497655124905
2.5,2.0923076923076924,2.731819698773733,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119514,0.3439847654764259,0.23535332938395603,2.7743590100378333e-05,-0.014478883551204384,0.8100497655124905
2.5,2.0923076923076924,2.1854557590189865,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195137,0.3439847654764257,0.23535332938395603,2.7743590100378333e-05,-0.014478883551204396,0.8100497655124907
2.5,2.0923076923076924,6.283185307179586,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195137,0.3439847654764259,0.23535332938395614,2.7743590100378333e-05,-0.014478883551204401,0.8100497655124907
2.5,2.0923076923076924,3.551365608405853,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119517,0.343984765476426,0.2353533293839565,2.7743590100378333e-05,-0.014478883551204426,0.8100497655124907
2.5,2.0923076923076924,1.6390918192642399,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119515,0.343984765476426,0.23535332938395634,2.7743590100378333e-05,-0.014478883551204396,0.8100497655124907
2.5,2.0923076923076924,2.4586377288963597,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.3439847654764256,0.23535332938395595,2.7743590100378333e-05,-0.0144788835512044,0.8100497655124907
2.5,2.0923076923076924,3.8245475782832266,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119514,0.34398476547642576,0.23535332938395606,2.7743590100378333e-05,-0.01447888355120438,0.8100497655124907
2.5,2.0923076923076924,3.2781836385284797,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195137,0.34398476547642576,0.23535332938395598,2.7743590100378333e-05,-0.014478883551204396,0.8100497655124907
2.5,2.0923076923076924,4.0977295481606,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195153,0.34398476547642587,0.23535332938395642,2.7743590100378333e-05,-0.014478883551204403,0.8100497655124907
2.5,2.0923076923076924,5.73682136742484,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119513,0.3439847654764256,0.23535332938395587,2.7743590100378333e-05,-0.014478883551204375,0.8100497655124907
2.5,2.0923076923076924,0.8195459096321199,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4233086282119514,0.34398476547642565,0.2353533293839561,2.7743590100378333e-05,-0.014478883551204406,0.8100497655124907
2.5,2.0923076923076924,0.5463639397547466,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195137,0.343984765476426,0.23535332938395634,2.7743590100378333e-05,-0.014478883551204389,0.8100497655124907
2.5,2.0923076923076924,5.1904574276700925,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42330862821195125,0.343984765476426,0.2353533293839563,2.7743590100378333e-05,-0.014478883551204382,0.810049765512491
2.5,2.0564102564102567,4.644093487915346,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42215607625653084,0.33836198258509437,0.232951561125252,2.7743590100378333e-05,-0.015116611835524874,0.8144233321005385
2.5,2.0564102564102567,0.2731819698773733,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4221560762565304,0.3383619825850946,0.23295156112525212,2.7743590100378333e-05,-0.01511661183552486,0.814423332100539
