loc12,loc23,tail,spread,cyclic,tau_align,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,score_ckm,score_pmns,score
0.26,0.34,0.0,1.15,0.1,0.85,0.07006507855853998,0.01490844117589225,0.00924784801346166,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.18977432827902943,0.4133567774508578,0.6031311057298873
0.26,0.46,0.0,1.15,0.1,0.85,0.07015479826436358,0.014741842696771774,0.01041740877944059,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.19102076781830524,0.4133567774508578,0.6043775452691631
0.34,0.46,0.0,1.15,0.1,0.1,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.16525871889148286,0.439583080281903,0.6048417991733859
0.26,0.34,0.03,1.15,0.1,0.85,0.06802811869612221,0.016799184466166277,0.010930567524533022,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.19160326436224454,0.4133567774508578,0.6049600418131024
0.34,0.1,0.0,0.9,0.1,0.6,0.09636396131881927,0.015835020517079065,0.007876227374177508,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16117724553827917,0.4438195856841353,0.6049968312224145
0.34,0.22,0.0,0.9,0.1,0.6,0.097747985151935,0.015187488819501173,0.008781855587106925,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16134638161567075,0.4438195856841353,0.6051659672998061
0.26,0.1,0.06,1.15,0.1,0.85,0.0626300347793841,0.02329153970793657,0.0125305540232363,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.19210897953591566,0.4133567774508578,0.6054657569867734
0.26,0.22,0.03,1.15,0.1,0.85,0.06698662990111894,0.016142319749491693,0.010159908260575378,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.19253095860996475,0.4133567774508578,0.6058877360608226
0.34,0.34,0.0,0.9,0.1,0.6,0.09794609193330403,0.01544301113014371,0.010348922081396556,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16245981901794884,0.4438195856841353,0.6062794047020842
0.34,0.22,0.06,1.15,0.1,0.1,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.16678605302019905,0.439583080281903,0.6063691333021021
0.26,0.46,0.03,1.15,0.1,0.85,0.06828414493393227,0.016387261564966248,0.012213857751044395,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.19304245125214586,0.4133567774508578,0.6063992287030037
0.34,0.22,0.03,1.15,0.1,0.1,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.16747690601943305,0.439583080281903,0.6070599863013361
0.34,0.34,0.06,1.15,0.1,0.1,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1676002520385964,0.439583080281903,0.6071833323204994
0.34,0.34,0.03,1.15,0.1,0.1,0.09441379808510908,0.01598770985032063,0.013244824179716888,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1683433162442872,0.439583080281903,0.6079263965261902
0.34,0.46,0.0,0.9,0.1,0.6,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16525871889148286,0.4438195856841353,0.6090783045756182
0.26,0.1,0.03,1.15,0.1,0.85,0.06505585776850506,0.014612799926092788,0.010019031873310184,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.19585037417871234,0.4133567774508578,0.6092071516295702
0.34,0.1,0.03,1.15,0.1,0.1,0.09248227152946964,0.014210422614783948,0.01093014071472461,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.16973744657047105,0.439583080281903,0.609320526852374
0.34,0.1,0.06,1.15,0.1,0.1,0.08852474588384879,0.02163137207938871,0.014774167600891917,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.17011804963765442,0.439583080281903,0.6097011299195574
0.34,0.22,0.06,0.9,0.1,0.6,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16678605302019905,0.4438195856841353,0.6106056387043344
0.34,0.22,0.03,0.9,0.1,0.6,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16747690601943305,0.4438195856841353,0.6112964917035684
0.34,0.46,0.06,1.15,0.1,0.1,0.09040004148622431,0.022336207439719986,0.019013889763452696,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1717776408375084,0.439583080281903,0.6113607211194114
0.34,0.34,0.06,0.9,0.1,0.6,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1676002520385964,0.4438195856841353,0.6114198377227318
0.34,0.46,0.03,1.15,0.1,0.1,0.09380307534777108,0.015603419436178812,0.0159204862084442,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1720139914244943,0.439583080281903,0.6115970717063973
0.34,0.34,0.03,0.9,0.1,0.6,0.09441379808510908,0.01598770985032063,0.013244824179716888,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1683433162442872,0.4438195856841353,0.6121629019284225
0.34,0.1,0.03,0.9,0.1,0.6,0.09248227152946964,0.014210422614783948,0.01093014071472461,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.16973744657047105,0.4438195856841353,0.6135570322546063
0.34,0.1,0.06,0.9,0.1,0.6,0.08852474588384879,0.02163137207938871,0.014774167600891917,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.17011804963765442,0.4438195856841353,0.6139376353217898
0.18,0.46,0.06,1.15,0.1,0.85,0.046813181960579806,0.027722775206052597,0.010734257861345606,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.20169830069471323,0.4133567774508578,0.615055078145571
0.18,0.34,0.06,1.15,0.1,0.85,0.045723747801351015,0.02827300013211218,0.01044057105067094,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.20194382311720777,0.4133567774508578,0.6153006005680656
0.34,0.46,0.06,0.9,0.1,0.6,0.09040004148622431,0.022336207439719986,0.019013889763452696,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1717776408375084,0.4438195856841353,0.6155972265216437
0.34,0.46,0.03,0.9,0.1,0.6,0.09380307534777108,0.015603419436178812,0.0159204862084442,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1720139914244943,0.4438195856841353,0.6158335771086296
0.18,0.22,0.06,1.15,0.1,0.85,0.044021179733952295,0.027325330904243644,0.010408171557630842,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.20456166091943492,0.4133567774508578,0.6179184383702927
0.18,0.1,0.06,1.15,0.1,0.85,0.041662130559123677,0.02480854914303787,0.010816706711233873,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.20984602700907234,0.4133567774508578,0.6232028044599301
0.18,0.46,0.03,1.15,0.1,0.85,0.04751348054391194,0.017545930723810017,0.009659928515283515,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21010051724756157,0.4133567774508578,0.6234572946984194
0.18,0.34,0.03,1.15,0.1,0.85,0.04655044405097285,0.017691122761509873,0.00934615122061709,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.2106045844081344,0.4133567774508578,0.6239613618589922
0.1,0.46,0.06,1.15,0.1,0.85,0.03398731680752606,0.02961310702923454,0.009001936059222431,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21090151222246184,0.4133567774508578,0.6242582896733196
0.18,0.34,0.0,1.15,0.1,0.85,0.04728443041347729,0.014444757123211653,0.008508742389253721,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21227955485256478,0.4133567774508578,0.6256363323034226
0.1,0.34,0.06,1.15,0.1,0.85,0.03253425109979451,0.029809681123614772,0.009140382601387498,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.2122964503779782,0.4133567774508578,0.625653227828836
0.18,0.46,0.0,1.15,0.1,0.85,0.048121870309978214,0.01376810077139103,0.008765289368274714,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21237531828690548,0.4133567774508578,0.6257320957377632
0.18,0.22,0.0,1.15,0.1,0.85,0.04584202481752017,0.015283294010539334,0.008250068487342343,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21262474965928285,0.4133567774508578,0.6259815271101407
