p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.1,2.35,1.8252052247460433,1.8292937702072352,0.025980462922196797,1.0000000000000024,38.49046119750375,38.49046119750382,38.490461197503656,1481.5156031965407,3.170706229792765
1.1,2.4,1.864039378464044,1.7618319355307936,0.02403897621558491,0.9999999999999976,41.5991093394269,41.599109339426825,41.599109339427,1730.4858978335956,3.2381680644692064
1.1,2.45,1.9028735321820451,1.6943701008543521,0.022242574323021142,0.9999999999999989,44.95882470605017,44.958824706050116,44.95882470605022,2021.2959189493472,3.305629899145648
1.1,2.5,1.941707685900046,1.6269082661779102,0.020580415242242106,1.000000000000002,48.58988452028221,48.58988452028232,48.58988452028211,2360.9768776943615,3.37309173382209
1.1,2.55,1.9805418396180468,1.5594464315014687,0.01904246717992225,1.0,52.514203677051185,52.514203677051206,52.514203677051185,2757.7415878348174,3.4405535684985313
1.1,2.6,2.019375993336048,1.4919845968250267,0.017619448005797927,0.9999999999999947,56.75546700844069,56.75546700844036,56.755467008440995,3221.1830353461983,3.5080154031749733
1.1,2.65,2.058210147054049,1.4245227621485848,0.016302769231307343,1.0000000000000002,61.33927223110235,61.33927223110234,61.339272231102335,3762.5063178412825,3.5754772378514152
1.1,2.7,2.09704430077205,1.3570609274721428,0.015084484174634913,0.9999999999999987,66.2932844386906,66.29328443869056,66.29328443869069,4394.7995616691405,3.642939072527857
1.1,2.75,2.1358784544900504,1.2895990927957017,0.01395723999931541,0.9999999999999991,71.64740307174263,71.64740307174257,71.64740307174269,5133.350366924756,3.7104009072042983
1.1,2.8,2.1747126082080515,1.2221372581192593,0.012914233336931757,1.000000000000001,77.43394237273291,77.433942372733,77.43394237273283,5996.015431383722,3.7778627418807407
1.1,2.85,2.2135467619260525,1.1546754234428174,0.011949169226071912,1.0000000000000049,83.68782641542128,83.68782641542168,83.68782641542087,7003.652290137684,3.8453245765571826
1.1,2.9,2.252380915644053,1.0872135887663763,0.01105622311972468,0.9999999999999978,90.44679988557445,90.44679988557426,90.44679988557465,8180.623609541152,3.9127864112336237
1.1,2.95,2.2912150693620545,1.0197517540899335,0.010230005731814271,0.9999999999999956,97.75165588520662,97.75165588520619,97.75165588520706,9555.38622829985,3.9802482459100665
1.1,3.0,2.330049223080055,0.9522899194134924,0.009465530510708349,1.000000000000004,105.64648213522743,105.64648213522788,105.646482135227,11161.17918754893,4.047710080586508
