N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,unitarity_defect_mean,unitarity_defect_std
1,-12,0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003446347906292904,0.0028486139515959503
1,-12,0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.01027653878859814,0.00740859440741849
1,-10,-0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-10,-0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011495462814189672,8.586056799308435e-05
1,-10,-0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00040388245275451817,0.0002599914426261485
1,-10,-0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.00109746431946395,0.0011009327706110747
1,-10,-0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003262362479880678,0.00274765545971062
1,-10,-0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010558505657448982,0.007574812224810521
1,-10,-0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-10,-0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,9.839730963352222e-05,8.696557291278681e-05
1,-10,-0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00031395097031401643,0.00021963772121355585
1,-10,-0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0013282261751876945,0.0008956680390831746
1,-10,-0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0035085006448434884,0.0024454822308627535
1,-10,-0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.009721928725738065,0.009124342115482796
1,-10,-0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-10,-0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011112450186689715,9.017376051334141e-05
1,-10,-0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003478052428080036,0.0003204718538965701
1,-10,-0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011934355768447769,0.0008943222756329447
1,-10,-0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003403304922533843,0.0026453168301488247
1,-10,-0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010427588908958563,0.008146338165861954
1,-10,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
