align_rank,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,raw_unitarity,raw_leakage,gap_e,gap_nu,s1,s2,s3,L12,L23,L13,LJ,Lleak,Lunit,Lsign,Lgap,loss,P_overlap,P_misalignment,L12_check,L23_check,L13_check,LJ_check,Lalign,loss_with_Lalign,noalign_rank,loss_without_Lalign,loss_without_Lalign_validation
12,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.0,0.03,33.302971673168,48.90886970499069,8.501808429666829,-0.0310159120181112,0.0310159120181112,0.9527513461488996,0.1977330096256052,1.0904309218585813,1.081215851601839,0.9953932980953856,0.9427850445142738,0.2319477517491767,0.01303941830165,0.0376697105209813,0.0744014442320619,0.1076032395664293,6.920655336896184,14.291270192233496,0.0,0.0920976669516522,21.536737008702453,0.6444837391981627,0.3555162608018373,0.013039418301650063,0.026159521195125924,0.03795992052656222,0.04782366202952955,42.66195129622047,61.3920012228102,74,18.73004992658973,18.73004992658973
13,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.05,0.06,33.302971673167846,48.90886970499067,8.501808429666662,-0.0310159120181106,0.0310159120181106,0.952751346148898,0.1977330096256037,1.0904309218585817,1.081215851601839,0.9953932980953858,0.9427850445142744,0.2319477517491798,0.0130394183016798,0.0376697105209868,0.0744014442324263,0.1076032395665605,6.92065533689613,14.291270192233467,0.0,0.0920976669516522,21.536737008702904,0.6444837391981637,0.3555162608018363,0.013039418301679812,0.026159521195129747,0.037959920526748125,0.04782366202958788,42.66195129622035,61.392001222810244,76,18.730049926589892,18.730049926589892
14,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.06,0.06,33.30297167316992,48.908869704990536,8.501808429666232,-0.0310159120181114,0.0310159120181114,0.9527513461488992,0.1977330096256049,1.0904309218585806,1.0812158516018384,0.9953932980953863,0.9427850445142736,0.2319477517491773,0.0130394183012849,0.0376697105210217,0.0744014442333643,0.1076032395663799,6.920655336896173,14.291270192233489,0.0,0.0920976669516523,21.53673700870337,0.6444837391981632,0.35551626080183685,0.013039418301284947,0.026159521195154016,0.037959920527226715,0.04782366202950998,42.66195129622042,61.392001222810435,77,18.730049926590013,18.730049926590013
15,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.07,0.08,33.30297167316814,48.90886970499086,8.501808429666488,-0.0310159120181101,0.0310159120181101,0.9527513461488986,0.1977330096256045,1.0904309218585817,1.0812158516018393,0.9953932980953863,0.9427850445142744,0.2319477517491781,0.0130394183016243,0.0376697105209372,0.0744014442328061,0.1076032395666629,6.92065533689616,14.291270192233478,0.0,0.0920976669516522,21.53673700870332,0.6444837391981638,0.3555162608018362,0.013039418301624368,0.02615952119509527,0.037959920526941936,0.047823662029636435,42.661951296220344,61.39200122281045,79,18.730049926590105,18.730049926590105
16,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.02,0.06,0.0399999999999999,33.30297167316949,48.90886970499079,8.501808429666339,-0.0310159120181106,0.0310159120181106,0.9527513461488998,0.1977330096256057,1.0904309218585793,1.0812158516018384,0.995393298095386,0.9427850445142744,0.2319477517491758,0.0130394183013674,0.0376697105209555,0.0744014442331317,0.1076032395665636,6.9206553368962,14.291270192233496,0.0,0.0920976669516523,21.53673700870337,0.6444837391981633,0.35551626080183674,0.013039418301367433,0.02615952119510805,0.03795992052710806,0.04782366202958788,42.66195129622041,61.39200122281048,78,18.73004992659007,18.73004992659007
17,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.06,0.0799999999999999,33.30297167316993,48.90886970499067,8.50180842966617,-0.031015912018111,0.031015912018111,0.9527513461488996,0.1977330096256052,1.0904309218585804,1.0812158516018384,0.9953932980953862,0.9427850445142738,0.2319477517491767,0.0130394183012835,0.0376697105209868,0.0744014442335,0.1076032395664695,6.920655336896184,14.291270192233494,0.0,0.0920976669516523,21.536737008703568,0.6444837391981632,0.35551626080183685,0.013039418301283594,0.026159521195129747,0.03795992052729594,0.0478236620295491,42.66195129622042,61.39200122281054,80,18.73004992659012,18.73004992659012
18,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.0,0.0099999999999999,33.30297167316793,48.90886970499062,8.501808429666527,-0.03101591201811,0.03101591201811,0.9527513461488988,0.1977330096256045,1.0904309218585817,1.081215851601839,0.9953932980953858,0.9427850445142744,0.231947751749178,0.0130394183016635,0.0376697105209997,0.0744014442327209,0.1076032395666986,6.920655336896161,14.29127019223348,0.0,0.0920976669516522,21.536737008703376,0.6444837391981634,0.3555162608018366,0.013039418301663584,0.02615952119513869,0.03795992052689843,0.04782366202964622,42.661951296220394,61.39200122281055,81,18.730049926590155,18.730049926590155
19,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.08,0.08,33.30297167316884,48.908869704990366,8.501808429666317,-0.0310159120181102,0.0310159120181102,0.9527513461488988,0.1977330096256044,1.0904309218585806,1.0812158516018384,0.9953932980953863,0.9427850445142736,0.2319477517491784,0.0130394183014904,0.0376697105210659,0.0744014442331783,0.1076032395666409,6.920655336896156,14.291270192233483,0.0,0.0920976669516523,21.536737008703668,0.6444837391981634,0.3555162608018366,0.013039418301490493,0.026159521195184658,0.03795992052713179,0.047823662029626665,42.661951296220394,61.392001222810634,83,18.730049926590237,18.730049926590237
20,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.03,0.03,33.30297167316846,48.90886970499118,8.501808429666237,-0.0310159120181101,0.0310159120181101,0.952751346148898,0.1977330096256035,1.0904309218585806,1.0812158516018395,0.9953932980953852,0.9427850445142736,0.2319477517491801,0.0130394183015635,0.0376697105208544,0.0744014442333527,0.1076032395666811,6.920655336896124,14.291270192233473,0.0,0.0920976669516522,21.5367370087037,0.6444837391981628,0.3555162608018372,0.013039418301563516,0.02615952119503781,0.03795992052722079,0.047823662029636435,42.661951296220465,61.39200122281066,82,18.730049926590194,18.730049926590194
21,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.02,0.08,0.06,33.30297167316837,48.90886970499062,8.501808429666417,-0.0310159120181093,0.0310159120181093,0.9527513461488992,0.1977330096256053,1.0904309218585793,1.0812158516018384,0.9953932980953863,0.9427850445142748,0.2319477517491765,0.0130394183015797,0.0376697105209997,0.0744014442329612,0.107603239566842,6.9206553368961865,14.291270192233489,0.0,0.0920976669516523,21.53673700870371,0.6444837391981638,0.3555162608018362,0.013039418301579744,0.02615952119513869,0.03795992052702104,0.04782366202971434,42.661951296220344,61.39200122281066,88,18.730049926590322,18.730049926590322
