cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,raw_unitarity,raw_leakage,gap_e,gap_nu,s1,s2,s3,L12,L23,L13,LJ,Lleak,Lunit,Lsign,Lgap,loss,P_overlap,P_misalignment
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.07,0.1,33.41778847120395,48.919481375779,8.48502424263166,-0.0310051349648857,0.0310051349648857,0.9526717831365143,0.1976304018986598,1.0904309218585813,1.0810593149391947,0.9953725237546868,0.9427179189167902,0.2321532995796913,0.0003426055635123,0.034973643793264,0.1155340694451692,0.1099729375658744,6.917064066453095,14.290076747047715,0.0,0.0921043630858272,21.560068432954456,0.6444595633994387,0.3555404366005613
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.01,0.05,0.04,33.44324542642089,48.90324950354335,8.386263388819465,-0.030595938970948,0.030595938970948,0.9526707254720964,0.1976364876170287,1.090459873328978,1.081215851601839,0.9953845831636562,0.9427520451356804,0.2321387935034314,7.314439342643873e-06,0.0391381587321199,0.5401462766097147,0.2190430414780586,6.917277066596006,14.290060882081448,0.0,0.0920964495530956,22.097769189489785,0.6444867688188741,0.3555132311811259
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.04,0.06,33.44324542642129,48.90324950354367,8.386263388818964,-0.0305959389709466,0.0305959389709466,0.9526707254720964,0.1976364876170289,1.090459873328978,1.0812158516018393,0.9953845831636564,0.9427520451356816,0.2321387935034309,7.314439344469468e-06,0.0391381587320356,0.54014627661266,0.2190430414784938,6.917277066596014,14.290060882081445,0.0,0.0920964495530956,22.09776918949309,0.644486768818875,0.355513231181125
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.05,0.07,33.44324542642108,48.90324950354324,8.386263388819035,-0.0305959389709466,0.0305959389709466,0.9526707254720964,0.1976364876170289,1.090459873328978,1.081215851601839,0.9953845831636556,0.9427520451356818,0.2321387935034309,7.314439343508629e-06,0.0391381587321499,0.5401462766122422,0.2190430414784743,6.917277066596014,14.290060882081445,0.0,0.0920964495530956,22.09776918949277,0.6444867688188746,0.3555132311811254
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.03,0.0499999999999999,33.44324542642125,48.90324950354376,8.386263388819076,-0.0305959389709469,0.0305959389709469,0.9526707254720964,0.1976364876170289,1.090459873328978,1.0812158516018395,0.9953845831636552,0.9427520451356808,0.232138793503431,7.3144393442773e-06,0.0391381587320113,0.540146276612002,0.2190430414783877,6.917277066596012,14.290060882081448,0.0,0.0920964495530956,22.0977691894923,0.6444867688188737,0.3555132311811263
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.05,0.05,33.44324542642054,48.90324950354324,8.386263388820133,-0.0305959389709498,0.0305959389709498,0.9526707254720967,0.1976364876170292,1.0904598733289763,1.081215851601839,0.9953845831636562,0.9427520451356808,0.2321387935034304,7.314439341074503e-06,0.0391381587321481,0.5401462766057877,0.2190430414774881,6.917277066596023,14.290060882081452,0.0,0.0920964495530957,22.097769189485337,0.6444867688188742,0.3555132311811257
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.04,0.04,33.44324542642081,48.90324950354374,8.386263388820067,-0.0305959389709497,0.0305959389709497,0.9526707254720966,0.1976364876170292,1.0904598733289763,1.0812158516018393,0.9953845831636564,0.9427520451356806,0.2321387935034306,7.314439342291564e-06,0.0391381587320169,0.5401462766061741,0.2190430414775022,6.917277066596022,14.29006088208145,0.0,0.0920964495530957,22.097769189485604,0.6444867688188742,0.3555132311811257
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.04,0.05,33.4432454264209,48.90324950354368,8.386263388819708,-0.0305959389709488,0.0305959389709488,0.9526707254720967,0.1976364876170292,1.0904598733289788,1.0812158516018393,0.9953845831636562,0.9427520451356808,0.2321387935034304,7.31443934270793e-06,0.0391381587320319,0.5401462766082838,0.2190430414777836,6.917277066596023,14.290060882081452,0.0,0.0920964495530956,22.09776918948801,0.6444867688188742,0.3555132311811257
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.04,0.07,33.443245426420816,48.903249503543705,8.386263388820483,-0.0305959389709516,0.0305959389709516,0.9526707254720967,0.1976364876170293,1.0904598733289776,1.0812158516018393,0.9953845831636566,0.9427520451356808,0.2321387935034303,7.314439342323594e-06,0.0391381587320262,0.5401462766037302,0.2190430414769165,6.917277066596026,14.290060882081452,0.0,0.0920964495530956,22.09776918948259,0.6444867688188745,0.3555132311811255
0.095,0.1399999999999999,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.05,0.06,33.44324542642065,48.90324950354322,8.386263388819783,-0.0305959389709489,0.0305959389709489,0.9526707254720967,0.1976364876170293,1.0904598733289788,1.081215851601839,0.995384583163656,0.9427520451356808,0.2321387935034302,7.31443934158695e-06,0.0391381587321537,0.5401462766078452,0.2190430414777804,6.917277066596028,14.290060882081452,0.0,0.0920964495530956,22.097769189487696,0.644486768818874,0.355513231181126
