winding,asym,noise,theta12,theta23,theta13,J,absJ,unitarity_defect,gap34,loss
8,-0.05,0.0003,2.5465360301310014e-14,1.4680683310329168e-14,1.2466832917783167e-14,4.3790577010150533e-47,4.3790577010150533e-47,2.282039554757003e-16,1.1806085263196233,3610.668899999997
8,-0.05,0.001,3.533868124868211e-14,5.929173137214162e-15,1.3929215692411533e-14,1.642146637880645e-47,1.642146637880645e-47,9.659809146540147e-16,1.1811640043393348,3610.668899999997
8,-0.05,0.003,1.1180317420220795e-14,1.7788489064795097e-15,9.320027986458024e-15,0.0,0.0,1.1116677726154888e-15,1.1824071303419108,3610.668899999999
8,-0.04000000000000001,0.0,3.309773309475355e-14,6.0505860882682494e-15,1.3698108886244229e-14,-2.1895288505075267e-47,2.1895288505075267e-47,8.054797537544551e-16,1.1819662937132152,3610.668899999997
8,-0.04000000000000001,0.0001,1.8398305546263055e-14,9.006243906909474e-15,1.791855115457485e-14,0.0,0.0,3.4205353509489204e-16,1.1819020920436805,3610.6688999999974
8,-0.04000000000000001,0.0003,8.653917114191391e-15,2.0632556243121712e-14,1.4019437576778507e-14,0.0,0.0,7.841775075703727e-16,1.1820140030615054,3610.6688999999974
8,-0.04000000000000001,0.001,1.6220101935010467e-14,2.0339201425617415e-15,1.0414579731047176e-15,2.7369110631344083e-48,2.7369110631344083e-48,6.667340228917242e-16,1.1828190955228937,3610.668899999999
8,-0.04000000000000001,0.003,9.634777659934851e-15,1.614635142763483e-14,2.065543425332382e-14,-6.842277657836021e-48,6.842277657836021e-48,3.2703565741764127e-16,1.1812524648929041,3610.668899999998
8,-0.03,0.0,1.4642548312679087e-14,2.937342112566664e-15,1.0780852378818848e-15,2.109107945459997e-49,2.109107945459997e-49,1.3671864132873455e-17,1.1825730695988457,3610.668899999999
8,-0.03,0.0001,1.0919610015037164e-14,1.3986075143111883e-14,5.288049866116931e-15,0.0,0.0,5.89500359639347e-16,1.1825718425666976,3610.668899999998
8,-0.03,0.0003,2.831440049037826e-14,6.44061232428996e-15,1.3625784749972628e-14,1.3684555315672042e-47,1.3684555315672042e-47,7.129799745055479e-16,1.1826371899125883,3610.668899999997
8,-0.03,0.001,1.1262934855953335e-14,1.453417630410459e-14,1.5703282489780163e-14,-2.7369110631344083e-48,2.7369110631344083e-48,5.166854770326717e-16,1.1827995390395842,3610.6688999999974
8,-0.03,0.003,1.0039897286757078e-14,5.752819058048624e-15,7.0776775971637736e-15,-2.7369110631344083e-48,2.7369110631344083e-48,3.687563136727777e-16,1.180230583404239,3610.6688999999988
8,-0.020000000000000004,0.0,9.661919531218052e-15,1.415861821026893e-14,8.641883545974586e-15,6.158049892052419e-48,6.158049892052419e-48,3.014551587504386e-16,1.1821650536412582,3610.6688999999983
8,-0.020000000000000004,0.0001,2.964234894985807e-15,5.878384689669223e-15,7.502647751572373e-15,-1.7105694144590052e-49,1.7105694144590052e-49,1.3860122393447556e-15,1.1822974974585205,3610.668899999999
8,-0.020000000000000004,0.0003,1.0480045799715562e-14,3.915379699289308e-15,4.686818963095029e-15,-1.559326796614847e-48,1.559326796614847e-48,1.448738101651848e-16,1.1820963971804328,3610.6688999999988
8,-0.020000000000000004,0.001,6.374663404416286e-15,1.3463987466357205e-14,7.127090352977523e-15,-1.7105694144590052e-48,1.7105694144590052e-48,6.900011404706535e-16,1.18188570312536,3610.6688999999983
8,-0.020000000000000004,0.003,6.819825899143883e-15,3.4168700814523937e-15,2.34609143156913e-15,8.343113552097104e-49,8.343113552097104e-49,4.921737920780073e-16,1.1842736336426491,3610.6688999999997
8,-0.010000000000000009,0.0,1.2219800920759848e-14,6.603478138328817e-15,8.399070805744614e-15,-2.7369110631344083e-48,2.7369110631344083e-48,3.08196378369305e-16,1.1804590879530155,3610.6688999999983
