beta_u,beta_d,tw12,tw23,eps_cp,q_cp,theta12,theta23,theta13,J,Hu,Hd,cp_total,LOSS
4.75,4.2,0.422,0.062,0.003,1.5,12.977966458758674,2.295895924118405,0.2012768216805756,1.2774835011671037e-05,8.251595156157334,7.296147295805561,0.008757305070995022,0.14838912571401355
4.75,4.2,0.422,0.062,0.003,1.75,12.97888414872568,2.297468213195566,0.20081933252922562,1.2980659077572142e-05,8.251595156157334,7.2961472962283676,0.008117086155576294,0.14291495048841502
4.75,4.2,0.422,0.062,0.003,2.0,12.979716759772574,2.299188448289519,0.20043739345204836,1.3152593564724063e-05,8.251595156157334,7.296147295803196,0.007583333333333333,0.13840756054586484
4.75,4.2,0.422,0.062,0.003,2.25,12.980467846439568,2.3009308006699856,0.20011439783616985,1.3298010881666357e-05,8.251595156157334,7.296147295826569,0.007132504620583563,0.13464211875021218
4.75,4.2,0.422,0.062,0.003,2.5,12.9811443411031,2.302629108281732,0.19983810481228606,1.3422381843937459e-05,8.251595156157334,7.296147295921647,0.006747277410177236,0.13145626079512798
4.75,4.2,0.422,0.062,0.003,2.75,12.981754072531722,2.30425017571606,0.1995993555441815,1.3529817686002213e-05,8.251595156157334,7.296147295873697,0.006414712556577784,0.12873049753794777
4.75,4.2,0.422,0.062,0.003,3.0,12.982304657598798,2.305779119320598,0.19939119510175682,1.362344927636431e-05,8.251595156157334,7.296147295826041,0.006125,0.12637535189506566
4.75,4.2,0.422,0.062,0.004,0.5,12.974379870248164,2.3297389747012174,0.20762401551890955,1.0003735914241186e-05,8.251595156157334,7.296147296022919,0.017688291403772156,0.23436597200687254
4.75,4.2,0.422,0.062,0.004,0.75,12.97367995732486,2.3127036384231965,0.2061515733319441,1.0623245823889425e-05,8.251595156157334,7.296147296127532,0.015616504884498832,0.21223205470954065
4.75,4.2,0.422,0.062,0.004,1.0,12.973776464446559,2.303222749739161,0.20500467623439714,1.1118363064182082e-05,8.251595156157334,7.296147295968579,0.014,0.1961266542151874
4.75,4.2,0.422,0.062,0.004,1.25,12.974254991614272,2.298101901658734,0.2040931544477759,1.151803595883516e-05,8.251595156157334,7.296147295995227,0.012715283797847875,0.18388136851201256
4.75,4.2,0.422,0.062,0.004,1.5,12.974902213477403,2.295535702199417,0.2033554720371074,1.1844633820392442e-05,8.251595156157334,7.296147295983398,0.011676406761326698,0.17427013750983814
4.75,4.2,0.422,0.062,0.004,1.75,12.975608201646091,2.2944848242363824,0.20274866626994192,1.2114950300308631e-05,8.251595156157334,7.296147296024959,0.010822781540768392,0.16654034584765232
4.75,4.2,0.422,0.062,0.004,2.0,12.976316887618237,2.2943391892220357,0.20224217152217222,1.2341482320128196e-05,8.251595156157334,7.296147296088279,0.010111111111111112,0.16020095028032494
4.75,4.2,0.422,0.062,0.004,2.25,12.977000543046016,2.294733790619181,0.20181386780067526,1.2533540885133893e-05,8.251595156157334,7.296147296053336,0.009510006160778085,0.15491690695054008
4.75,4.2,0.422,0.062,0.004,2.5,12.977646439281925,2.2954463719230507,0.2014474849762463,1.2698110009408924e-05,8.251595156157334,7.296147295961513,0.008996369880236315,0.15045172728180436
4.75,4.2,0.422,0.062,0.004,2.75,12.978249781450312,2.296339528992598,0.20113086575112882,1.2840479667238294e-05,8.251595156157334,7.296147296085313,0.008552950075437046,0.14663391796043884
4.75,4.2,0.422,0.062,0.004,3.0,12.97880992391991,2.2973273031233576,0.2008547860916849,1.2964702561371784e-05,8.251595156157334,7.2961472961077165,0.008166666666666668,0.1433362815065004
4.75,4.2,0.422,0.062,0.005,0.5,12.9789666004539,2.3838826518155285,0.2107949433197593,8.752686642928172e-06,8.251595156157334,7.296147295969492,0.022110364254715197,0.29003955761957473
4.75,4.2,0.422,0.062,0.005,0.75,12.975769591510216,2.3492884460747994,0.20893167430041026,9.4724061470014e-06,8.251595156157334,7.296147296302017,0.01952063110562354,0.25579303698243705
4.75,4.2,0.422,0.062,0.005,1.0,12.974278044600073,2.3279666777578187,0.20748998541376798,1.0059262384082973e-05,8.251595156157334,7.296147296136246,0.017499999999999998,0.23227152231778103
4.75,4.2,0.422,0.062,0.005,1.25,12.973720062868129,2.3146697265397287,0.20634863404937206,1.0539196720674854e-05,8.251595156157334,7.296147295665929,0.015894104747309845,0.21509066034762148
4.75,4.2,0.422,0.062,0.005,1.5,12.973675367487143,2.306323291591984,0.2054271159436755,1.0934885842958653e-05,8.251595156157334,7.296147295882728,0.014595508451658374,0.2019598409234571
4.75,4.2,0.422,0.062,0.005,1.75,12.973910755354591,2.3010938398356955,0.20467017750709976,1.12644676464645e-05,8.251595156157334,7.296147296100406,0.01352847692596049,0.1915816044724431
4.75,4.2,0.422,0.062,0.005,2.0,12.974294657979241,2.2978651348594266,0.20403893165568107,1.1541955226289022e-05,8.251595156157334,7.296147296290181,0.01263888888888889,0.1831663398084329
4.75,4.2,0.422,0.062,0.005,2.25,12.974751856564941,2.2959428483257867,0.2035054325977266,1.1778045415349048e-05,8.251595156157334,7.296147296150635,0.011887507700972605,0.17620420492820213
4.75,4.2,0.422,0.062,0.005,2.5,12.975238985863804,2.2948857828329428,0.20304922043021786,1.1980896533939946e-05,8.251595156157334,7.296147296034602,0.011245462350295395,0.17035003947178756
4.75,4.2,0.422,0.062,0.005,2.75,12.975731014095173,2.294407823965225,0.20265505547082582,1.2156762659683816e-05,8.251595156157334,7.296147296193459,0.010691187594296308,0.16536115473459267
4.75,4.2,0.422,0.062,0.005,3.0,12.976213632815499,2.2943198981226476,0.20231140042291482,1.2310478323445707e-05,8.251595156157334,7.296147295853968,0.010208333333333333,0.16106158094603182
4.75,4.2,0.422,0.062,0.006,0.5,12.98775875109843,2.4608469370151655,0.21404478229300009,7.625653557487028e-06,8.251595156157334,7.296147295774639,0.026532437105658238,0.3632751447153524
4.75,4.2,0.422,0.062,0.006,0.75,12.981141163761079,2.404462458756187,0.21175022236717406,8.403256940185417e-06,8.251595156157334,7.296147295857584,0.02342475732674825,0.30962646303191343
4.75,4.2,0.422,0.062,0.006,1.0,12.97741910867476,2.3680687545334216,0.20999338233134215,9.056447055922137e-06,8.251595156157334,7.296147295847892,0.020999999999999998,0.2747095684360021
4.75,4.2,0.422,0.062,0.006,1.25,12.97536327135307,2.344129024459394,0.20861152149582246,9.600656962280383e-06,8.251595156157334,7.296147296112297,0.019072925696771815,0.2503697004781565
4.75,4.2,0.422,0.062,0.006,1.5,12.97428567219523,2.3281026043517477,0.20750038336921117,1.005494804333807e-05,8.251595156157334,7.29614729611055,0.017514610141990045,0.2324333871037581
4.75,4.2,0.422,0.062,0.006,1.75,12.973791832508407,2.317212371060475,0.20659011414168918,1.0436653865518106e-05,8.251595156157334,7.296147295781613,0.016234172311152588,0.21863430738818465
4.75,4.2,0.422,0.062,0.006,2.0,12.97365023935295,2.3097273246953716,0.20583233735783707,1.0760075429355753e-05,8.251595156157334,7.2961472960419425,0.015166666666666667,0.2076612703584096
4.75,4.2,0.422,0.062,0.006,2.25,12.973722032603836,2.3045458555225493,0.20519266546773487,1.1036565144811016e-05,8.251595156157334,7.296147295979617,0.014265009241167127,0.19870915476941653
4.75,4.2,0.422,0.062,0.006,2.5,12.973922265007229,2.30095182064624,0.2046461115887837,1.127500565247571e-05,8.251595156157334,7.296147296299602,0.013494554820354472,0.19125698934955734
4.75,4.2,0.422,0.062,0.006,2.75,12.974198071147867,2.2984698482511097,0.2041741629186118,1.1482328674641482e-05,8.251595156157334,7.296147296118915,0.012829425113155568,0.18495227114429488
