# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   52       1.961171184885e-10       1.795258301961e-14       2.523119778528e-14       0.000000000000e+00       4.782924355782e-11       4.919900623333e-12      -8.300115911493e-15 
   53       1.988766492873e-10       1.906479174553e-14      -3.232938915558e-15       0.000000000000e+00       4.585902724531e-11       4.732771831064e-12      -8.426991965131e-15 
   54       2.016609895645e-10       2.021612191409e-14      -3.346262351006e-14       0.000000000000e+00       4.399252143849e-11       4.554737288475e-12      -8.737473096922e-15 
   55       2.044727641359e-10       2.140672778257e-14      -6.547863479140e-14       0.000000000000e+00       4.222904392549e-11       4.385998410717e-12      -9.179968617363e-15 
   56       2.073134866955e-10       2.263672695976e-14      -9.930110273017e-14       0.000000000000e+00       4.056465339077e-11       4.226489424019e-12      -9.693113915800e-15 
   57       2.101834662897e-10       2.390619980427e-14      -1.349495584446e-13       0.000000000000e+00       3.899193960956e-11       4.075859317819e-12      -1.020529947469e-14 
   58       2.130817137917e-10       2.521518882291e-14      -1.724429841709e-13       0.000000000000e+00       3.749981364240e-11       3.933453796893e-12      -1.063419988387e-14 
   59       2.160067745966e-10       2.656361570455e-14      -2.117937872624e-13       0.000000000000e+00       3.607655695866e-11       3.798495450746e-12      -1.090688342252e-14 
   60       2.189596649355e-10       2.795101128906e-14      -2.529879745257e-13       0.000000000000e+00       3.472027219562e-11       3.670714111361e-12      -1.102666394759e-14 
   61       2.219414533802e-10       2.937672171431e-14      -2.960004539080e-13       0.000000000000e+00       3.343049288861e-11       3.549831246401e-12      -1.102096919476e-14 
   62       2.249523337181e-10       3.083998194250e-14      -3.408005528417e-13       0.000000000000e+00       3.220504062938e-11       3.435363515812e-12      -1.092234728179e-14 
   63       2.279915628242e-10       3.233991236646e-14      -3.873518622494e-13       0.000000000000e+00       3.103992573272e-11       3.326611443173e-12      -1.076869336911e-14 
   64       2.310573985331e-10       3.387551541596e-14      -4.356120805487e-13       0.000000000000e+00       2.992924790314e-11       3.222648087057e-12      -1.060347632048e-14 
   65       2.341480596205e-10       3.544578223279e-14      -4.855421497798e-13       0.000000000000e+00       2.886682257590e-11       3.122562421810e-12      -1.046589254111e-14 
   66       2.372649816018e-10       3.705004657702e-14      -5.371362632663e-13       0.000000000000e+00       2.785168338820e-11       3.026274834855e-12      -1.035839470685e-14 
   67       2.404101414329e-10       3.868770002688e-14      -5.903979529796e-13       0.000000000000e+00       2.688357091189e-11       2.933874596920e-12      -1.027267103947e-14 
   68       2.435850633316e-10       4.035808821473e-14      -6.453314601689e-13       0.000000000000e+00       2.596125969818e-11       2.845376266903e-12      -1.019905725442e-14 
   69       2.467907852396e-10       4.206051051219e-14      -7.019418392857e-13       0.000000000000e+00       2.508250721493e-11       2.760715487969e-12      -1.012648146412e-14 
   70       2.500278252848e-10       4.379421971531e-14      -7.602350619088e-13       0.000000000000e+00       2.424400278388e-11       2.679744783651e-12      -1.004240908139e-14 
   71       2.532961482436e-10       4.555842172975e-14      -8.202181206682e-13       0.000000000000e+00       2.344131651797e-11       2.602229353948e-12      -9.932787722710e-15 
   72       2.565955463569e-10       4.735223686470e-14      -8.818912696872e-13       0.000000000000e+00       2.267003795577e-11       2.527913572309e-12      -9.785907345392e-15 
   73       2.599269409326e-10       4.917457581294e-14      -9.452227906143e-13       0.000000000000e+00       2.192955846760e-11       2.456744595715e-12      -9.604960904049e-15 
   74       2.632912711406e-10       5.102423918538e-14      -1.010169548189e-12       0.000000000000e+00       2.121992598404e-11       2.388684279277e-12      -9.397806368649e-15 
   75       2.666890781283e-10       5.289995262189e-14      -1.076684350235e-12       0.000000000000e+00       2.054069613429e-11       2.323639732731e-12      -9.173298826567e-15 
   76       2.701204809426e-10       5.480036559996e-14      -1.144715872051e-12       0.000000000000e+00       1.989090834543e-11       2.261460730714e-12      -8.941324774835e-15 
   77       2.735851524523e-10       5.672405024334e-14      -1.214208580807e-12       0.000000000000e+00       1.926906194173e-11       2.201937123036e-12      -8.712836412398e-15 
   78       2.770822952704e-10       5.866950013069e-14      -1.285102659935e-12       0.000000000000e+00       1.867309224396e-11       2.144796244957e-12      -8.499885932360e-15 
   79       2.806106176764e-10       6.063512910424e-14      -1.357333933525e-12       0.000000000000e+00       1.810034666872e-11       2.089700327453e-12      -8.315659814242e-15 
   80       2.841688661316e-10       6.261932374128e-14      -1.430839584540e-12       0.000000000000e+00       1.754824316705e-11       2.036329895415e-12      -8.171373135621e-15 
   81       2.877575822982e-10       6.462061388386e-14      -1.505576619463e-12       0.000000000000e+00       1.701642980965e-11       1.984656339269e-12      -8.066255926426e-15 
   82       2.913776086291e-10       6.663752968815e-14      -1.581506487325e-12       0.000000000000e+00       1.650495837306e-11       1.934712173820e-12      -7.995882243308e-15 
   83       2.950295453189e-10       6.866855039745e-14      -1.658589601892e-12       0.000000000000e+00       1.601362422076e-11       1.886508272758e-12      -7.955132203067e-15 
   84       2.987137365334e-10       7.071210414456e-14      -1.736785373353e-12       0.000000000000e+00       1.554195503838e-11       1.840032871293e-12      -7.938168127118e-15 
   85       3.024302566392e-10       7.276656775422e-14      -1.816052240001e-12       0.000000000000e+00       1.508919956890e-11       1.795250568803e-12      -7.938410685949e-15 
   86       3.061788964338e-10       7.483026654551e-14      -1.896347699924e-12       0.000000000000e+00       1.465431634789e-11       1.752101331473e-12      -7.948515043590e-15 
   87       3.099591493742e-10       7.690147413422e-14      -1.977628342692e-12       0.000000000000e+00       1.423596243873e-11       1.710499494936e-12      -7.960347002071e-15 
   88       3.137701978074e-10       7.897841223532e-14      -2.059849881037e-12       0.000000000000e+00       1.383248216783e-11       1.670332766918e-12      -7.964959145887e-15 
   89       3.176112398321e-10       8.105927465074e-14      -2.142965463215e-12       0.000000000000e+00       1.344230123432e-11       1.631490444537e-12      -7.954496500213e-15 
   90       3.214825586637e-10       8.314230397604e-14      -2.226920237608e-12       0.000000000000e+00       1.306520444500e-11       1.593955312997e-12      -7.928308095502e-15 
   91       3.253845964277e-10       8.522572661849e-14      -2.311655989896e-12       0.000000000000e+00       1.270123859255e-11       1.557724392335e-12      -7.887754616685e-15 
   92       3.293176199137e-10       8.730772984517e-14      -2.397112792329e-12       0.000000000000e+00       1.235031980474e-11       1.522780454207e-12      -7.834369214838e-15 
   93       3.332817119086e-10       8.938646194780e-14      -2.483229009656e-12       0.000000000000e+00       1.201222835265e-11       1.489091462210e-12      -7.769862558225e-15 
   94       3.372767625289e-10       9.146003240736e-14      -2.569941305053e-12       0.000000000000e+00       1.168660345895e-11       1.456610012190e-12      -7.696127883327e-15 
   95       3.413024605536e-10       9.352651205893e-14      -2.657184646053e-12       0.000000000000e+00       1.137293810609e-11       1.425272772560e-12      -7.615246045883e-15 
   96       3.453582847570e-10       9.558393325635e-14      -2.744892310474e-12       0.000000000000e+00       1.107057384463e-11       1.394999924617e-12      -7.529490571923e-15 
   97       3.494434952411e-10       9.763029003698e-14      -2.832995892344e-12       0.000000000000e+00       1.077869560143e-11       1.365694602853e-12      -7.441332708804e-15 
   98       3.535571247685e-10       9.966353828644e-14      -2.921425307834e-12       0.000000000000e+00       1.049632648788e-11       1.337242335269e-12      -7.353446476249e-15 
   99       3.576982221673e-10       1.016816428857e-13      -3.010110065439e-12       0.000000000000e+00       1.022255160029e-11       1.309537603566e-12      -7.268188263131e-15 
  100       3.618666406193e-10       1.036827264162e-13      -3.098983268998e-12       0.000000000000e+00       9.957236813096e-12       1.282569026072e-12      -7.185940593877e-15 
  101       3.660623454444e-10       1.056649419215e-13      -3.187978195318e-12       0.000000000000e+00       9.700402625403e-12       1.256345256645e-12      -7.106542062802e-15 
  102       3.702851664481e-10       1.076264285290e-13      -3.277027101489e-12       0.000000000000e+00       9.452001866257e-12       1.230868713153e-12      -7.029790558237e-15 
  103       3.745347923099e-10       1.095653121840e-13      -3.366061246133e-12       0.000000000000e+00       9.211917278536e-12       1.206135346525e-12      -6.955441944415e-15 
  104       3.788107649714e-10       1.114797063842e-13      -3.455010910658e-12       0.000000000000e+00       8.979959102870e-12       1.182134409780e-12      -6.883208743371e-15 
  105       3.831124740242e-10       1.133677129138e-13      -3.543805420513e-12       0.000000000000e+00       8.755862661543e-12       1.158848227076e-12      -6.812758816830e-15 
  106       3.874391510985e-10       1.152274225773e-13      -3.632373166438e-12       0.000000000000e+00       8.539285942402e-12       1.136251962748e-12      -6.743714048105e-15 
  107       3.917898642506e-10       1.170569159346e-13      -3.720641625718e-12       0.000000000000e+00       8.329807182768e-12       1.114313390345e-12      -6.675649023989e-15 
  108       3.961635123516e-10       1.188542640344e-13      -3.808537383435e-12       0.000000000000e+00       8.126922453343e-12       1.092992661677e-12      -6.608089716645e-15 
  109       4.005588194750e-10       1.206175291487e-13      -3.895986153721e-12       0.000000000000e+00       7.930043242117e-12       1.072242075850e-12      -6.540512165506e-15 
  110       4.049745576937e-10       1.223448133019e-13      -3.982913533463e-12       0.000000000000e+00       7.738629082403e-12       1.052017593836e-12      -6.472464292516e-15 
  111       4.094102599158e-10       1.240344093413e-13      -4.069247327452e-12       0.000000000000e+00       7.552609911900e-12       1.032315552530e-12      -6.403951894390e-15 
  112       4.138655881984e-10       1.256846706639e-13      -4.154915561958e-12       0.000000000000e+00       7.372013496343e-12       1.013140238932e-12      -6.335099812055e-15 
  113       4.183401101655e-10       1.272939663406e-13      -4.239845807006e-12       0.000000000000e+00       7.196834140836e-12       9.944924504309e-13      -6.266033106414e-15 
  114       4.228332956410e-10       1.288606823201e-13      -4.323965204826e-12       0.000000000000e+00       7.027031600975e-12       9.763693792808e-13      -6.196876950394e-15 
  115       4.273445132816e-10       1.303832226323e-13      -4.407200498307e-12       0.000000000000e+00       6.862529993970e-12       9.587644970778e-13      -6.127756520998e-15 
  116       4.318730272099e-10       1.318600105931e-13      -4.489478059445e-12       0.000000000000e+00       6.703216709772e-12       9.416674392349e-13      -6.058796891352e-15 
  117       4.364179936471e-10       1.332894900075e-13      -4.570723917794e-12       0.000000000000e+00       6.548941322192e-12       9.250638894579e-13      -5.990122922754e-15 
  118       4.409784575458e-10       1.346701263740e-13      -4.650863788922e-12       0.000000000000e+00       6.399514500027e-12       9.089354642209e-13      -5.921859156728e-15 
  119       4.455533492236e-10       1.360004080888e-13      -4.729823102856e-12       0.000000000000e+00       6.254706918184e-12       8.932595972423e-13      -5.854129707065e-15 
  120       4.501414809950e-10       1.372788476490e-13      -4.807527032539e-12       0.000000000000e+00       6.114248168798e-12       8.780094239599e-13      -5.787058151878e-15 
  121       4.547415438053e-10       1.385039828571e-13      -4.883900522276e-12       0.000000000000e+00       5.977825672364e-12       8.631536660075e-13      -5.720767425653e-15 
  122       4.593521038629e-10       1.396743780249e-13      -4.958868316190e-12       0.000000000000e+00       5.845083588852e-12       8.486565156894e-13      -5.655379711291e-15 
  123       4.639717696448e-10       1.407886728122e-13      -5.032355798875e-12       0.000000000000e+00       5.715699594945e-12       8.344855286620e-13      -5.590991763412e-15 
  124       4.685997218090e-10       1.418457325322e-13      -5.104291566120e-12       0.000000000000e+00       5.589627522420e-12       8.206365747400e-13      -5.527597898212e-15 
  125       4.732352380975e-10       1.428445174630e-13      -5.174605204508e-12       0.000000000000e+00       5.466880672239e-12       8.071115491179e-13      -5.465157911891e-15 
  126       4.778775264107e-10       1.437840383215e-13      -5.243226540148e-12       0.000000000000e+00       5.347455973805e-12       7.939105689272e-13      -5.403620558841e-15 
  127       4.825257227807e-10       1.446633578423e-13      -5.310085673518e-12       0.000000000000e+00       5.231333508718e-12       7.810319207188e-13      -5.342923250383e-15 
  128       4.871788893449e-10       1.454815923563e-13      -5.375113014301e-12       0.000000000000e+00       5.118476034533e-12       7.684720079461e-13      -5.282991753522e-15 
  129       4.918360123192e-10       1.462379133698e-13      -5.438239316234e-12       0.000000000000e+00       5.008828508526e-12       7.562252984479e-13      -5.223739889689e-15 
  130       4.964959999715e-10       1.469315491427e-13      -5.499395711944e-12       0.000000000000e+00       4.902317611449e-12       7.442842719309e-13      -5.165069233489e-15 
  131       5.011576805951e-10       1.475617862674e-13      -5.558513747792e-12       0.000000000000e+00       4.798851271290e-12       7.326393674525e-13      -5.106868811447e-15 
  132       5.058198004818e-10       1.481279712478e-13      -5.615525418712e-12       0.000000000000e+00       4.698318187035e-12       7.212789309040e-13      -5.049014800757e-15 
  133       5.104810218958e-10       1.486295120779e-13      -5.670363203057e-12       0.000000000000e+00       4.600587352429e-12       7.101891624928e-13      -4.991370228026e-15 
  134       5.151399210465e-10       1.490658798200e-13      -5.722960097438e-12       0.000000000000e+00       4.505507579730e-12       6.993540642258e-13      -4.933784668022e-15 
  135       5.197949860623e-10       1.494366101845e-13      -5.773249651562e-12       0.000000000000e+00       4.412907023476e-12       6.887553873917e-13      -4.876093942421e-15 
