# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   52       1.963411757094e-10       1.806044046899e-14       2.485874472447e-14       1.104884469323e-16       4.886427457125e-11       5.305816296230e-12      -8.300083851677e-15 
   53       1.991033762558e-10       1.917663577097e-14      -3.619609752618e-15       1.147973235608e-16       4.685483851844e-11       5.106994978892e-12      -8.426963130249e-15 
   54       2.018904612235e-10       2.033200560283e-14      -3.386294982919e-14       1.191893302278e-16       4.495096702320e-11       4.917632753834e-12      -8.737447012309e-15 
   55       2.047050578401e-10       2.152670191675e-14      -6.589194358187e-14       1.236644025038e-16       4.315198162775e-11       4.737959505881e-12      -9.179944885551e-15 
   56       2.075486799970e-10       2.276083988775e-14      -9.972660418688e-14       1.282224670114e-16       4.145388375031e-11       4.567924861026e-12      -9.693092235938e-15 
   57       2.104216345598e-10       2.403449730857e-14      -1.353863397677e-13       1.328634413016e-16       3.984914088067e-11       4.407179178551e-12      -1.020527966297e-14 
   58       2.133229276790e-10       2.534771398464e-14      -1.728900032426e-13       1.375872337292e-16       3.832647277587e-11       4.255054543155e-12      -1.063418189496e-14 
   59       2.162510988464e-10       2.670040884134e-14      -2.122498688733e-13       1.423937489312e-16       3.687395651295e-11       4.110751817353e-12      -1.090686733004e-14 
   60       2.192071620390e-10       2.809211014076e-14      -2.534518152184e-13       1.472829060257e-16       3.548966928559e-11       3.973995695166e-12      -1.102664978820e-14 
   61       2.221921832274e-10       2.952216143253e-14      -2.964706199915e-13       1.522546244273e-16       3.417314370533e-11       3.844498448045e-12      -1.102095691870e-14 
   62       2.252063517137e-10       3.098979500758e-14      -3.412754758783e-13       1.573088186822e-16       3.292216702566e-11       3.721755462740e-12      -1.092233674219e-14 
   63       2.282489178916e-10       3.249412850369e-14      -3.878298345095e-13       1.624453985336e-16       3.173267984119e-11       3.605033218524e-12      -1.076868431092e-14 
   64       2.313181310053e-10       3.403416151100e-14      -4.360912504341e-13       1.676642689881e-16       3.059867478689e-11       3.493357264411e-12      -1.060346836893e-14 
   65       2.344122008107e-10       3.560888241142e-14      -4.860205196722e-13       1.729653435827e-16       2.951385415709e-11       3.385769927819e-12      -1.046588523528e-14 
   66       2.375325590776e-10       3.721762282049e-14      -5.376116953229e-13       1.783485873057e-16       2.847723832867e-11       3.282193881554e-12      -1.035838768044e-14 
   67       2.406811795971e-10       3.885977236401e-14      -5.908681686127e-13       1.838139829104e-16       2.748856752990e-11       3.182730513926e-12      -1.027266408489e-14 
   68       2.438595822577e-10       4.053467476258e-14      -6.457940372519e-13       1.893615189426e-16       2.654659660167e-11       3.087401941067e-12      -1.019905034497e-14 
   69       2.470687994452e-10       4.224162752051e-14      -7.023942093959e-13       1.949911901762e-16       2.564904289726e-11       2.996146529086e-12      -1.012647477708e-14 
   70       2.503093424425e-10       4.397988161490e-14      -7.606745076068e-13       2.007029980481e-16       2.479253418211e-11       2.908814416224e-12      -1.004240302188e-14 
   71       2.535811678300e-10       4.574864118452e-14      -8.206417728143e-13       2.064969510934e-16       2.397255653360e-11       2.825163035010e-12      -9.932782948528e-15 
   72       2.568840594638e-10       4.754702492123e-14      -8.822961059415e-13       2.123730772292e-16       2.318461547785e-11       2.744926803260e-12      -9.785904714617e-15 
   73       2.602189339633e-10       4.937394235554e-14      -9.456056376714e-13       2.183314623675e-16       2.242809320861e-11       2.668051634757e-12      -9.604961172305e-15 
   74       2.635867262581e-10       5.122819315141e-14      -1.010527081064e-12       2.243722200352e-16       2.170304105531e-11       2.594497560298e-12      -9.397810090011e-15 
   75       2.669879725114e-10       5.310850213457e-14      -1.077013090529e-12       2.304954808759e-16       2.100900786232e-11       2.524165810178e-12      -9.173306327286e-15 
   76       2.704227860074e-10       5.501351810713e-14      -1.145012186279e-12       2.367013933554e-16       2.034501558828e-11       2.456896029697e-12      -8.941336126144e-15 
   77       2.738908330397e-10       5.694181266217e-14      -1.214468678788e-12       2.429901244676e-16       1.970953490528e-11       2.392463494666e-12      -8.712851402387e-15 
   78       2.773913087997e-10       5.889187899835e-14      -1.285322593244e-12       2.493618604402e-16       1.910046079816e-11       2.330576326915e-12      -8.499904036939e-15 
   79       2.809229132645e-10       6.086213073453e-14      -1.357509594010e-12       2.558168074403e-16       1.851508816375e-11       2.270872709799e-12      -8.315680167172e-15 
   80       2.844843850846e-10       6.285095425501e-14      -1.430966703556e-12       2.623551874272e-16       1.795078373386e-11       2.213010512603e-12      -8.171394586418e-15 
   81       2.880762630722e-10       6.485687882236e-14      -1.505650769250e-12       2.689772233282e-16       1.740718991052e-11       2.156960214503e-12      -8.066277381483e-15 
   82       2.916993880391e-10       6.687843398180e-14      -1.581523080734e-12       2.756831525649e-16       1.688436091000e-11       2.102758006584e-12      -7.995902771523e-15 
   83       2.953543584020e-10       6.891409846336e-14      -1.658543891558e-12       2.824732322831e-16       1.638208910466e-11       2.050416844607e-12      -7.955151057769e-15 
   84       2.990415164039e-10       7.096229998786e-14      -1.736672450946e-12       2.893477399694e-16       1.589989351707e-11       1.999925375793e-12      -7.938184768709e-15 
   85       3.027609343352e-10       7.302141507279e-14      -1.815867035556e-12       2.963069740664e-16       1.543700831416e-11       1.951246865605e-12      -7.938424805272e-15 
   86       3.065124007558e-10       7.508976883821e-14      -1.896084981240e-12       3.033512545891e-16       1.499237130135e-11       1.904318124532e-12      -7.948526586014e-15 
   87       3.102954067159e-10       7.716563481272e-14      -1.977282714806e-12       3.104809237403e-16       1.456461241668e-11       1.859048434870e-12      -7.960356192300e-15 
   88       3.141091319779e-10       7.924723473930e-14      -2.059415785779e-12       3.176963465265e-16       1.415204222494e-11       1.815318477508e-12      -7.964966513493e-15 
   89       3.179527715869e-10       8.133276263957e-14      -2.142437183445e-12       3.249978983766e-16       1.375305429106e-11       1.773010627235e-12      -7.954502832012e-15 
   90       3.218266043261e-10       8.342046175553e-14      -2.226291916207e-12       3.323859244288e-16       1.336742971705e-11       1.732107624395e-12      -7.928314153756e-15 
   91       3.257310672615e-10       8.550855937603e-14      -2.310921636465e-12       3.398607749619e-16       1.299521699793e-11       1.692607476309e-12      -7.887761055903e-15 
   92       3.296664217544e-10       8.759524381990e-14      -2.396266285628e-12       3.474228182396e-16       1.263633112842e-11       1.654492871795e-12      -7.834376568805e-15 
   93       3.336327447818e-10       8.967866460528e-14      -2.482264100183e-12       3.550724409312e-16       1.229054829746e-11       1.617730577892e-12      -7.769871226639e-15 
   94       3.376299202568e-10       9.175693261896e-14      -2.568851617771e-12       3.628100485329e-16       1.195750058281e-11       1.582270836582e-12      -7.696138118060e-15 
   95       3.416576303489e-10       9.382812028571e-14      -2.655963683257e-12       3.706360657889e-16       1.163667064564e-11       1.548046761515e-12      -7.615257936850e-15 
   96       3.457153468042e-10       9.589026173761e-14      -2.743533454802e-12       3.785509371128e-16       1.132738642506e-11       1.514973734731e-12      -7.529504032569e-15 
   97       3.498023222659e-10       9.794135298338e-14      -2.831492409939e-12       3.865551270080e-16       1.102881583276e-11       1.482948803384e-12      -7.441347461208e-15 
   98       3.539175815944e-10       9.997935207774e-14      -2.919770351640e-12       3.946491204897e-16       1.073996144751e-11       1.451850076467e-12      -7.353462035836e-15 
   99       3.580601657589e-10       1.020022266835e-13      -3.008296684341e-12       4.028334267636e-16       1.045988913418e-11       1.421565109818e-12      -7.268203976420e-15 
  100       3.622299216908e-10       1.040081040783e-13      -3.097004435090e-12       4.111085899484e-16       1.018846231753e-11       1.392081952689e-12      -7.185955844708e-15 
  101       3.664268087024e-10       1.059951428088e-13      -3.185826815887e-12       4.194751806619e-16       9.925702339885e-12       1.363409936428e-12      -7.106556333340e-15 
  102       3.706506503494e-10       1.079614879273e-13      -3.274696025747e-12       4.279337933526e-16       9.671561376527e-12       1.335551587961e-12      -7.029803438950e-15 
  103       3.749011288128e-10       1.099052717356e-13      -3.363543272165e-12       4.364850467606e-16       9.425919965680e-12       1.308502377894e-12      -6.955453144320e-15 
  104       3.791777792803e-10       1.118246145292e-13      -3.452298792581e-12       4.451295843778e-16       9.188584538543e-12       1.282250468607e-12      -6.883218100537e-15 
  105       3.834799843285e-10       1.137176253407e-13      -3.540891875849e-12       4.538680749090e-16       8.959284949311e-12       1.256776462349e-12      -6.812766309146e-15 
  106       3.878069683045e-10       1.155824026838e-13      -3.629250883698e-12       4.627012127323e-16       8.737672005195e-12       1.232053149337e-12      -6.743719804309e-15 
  107       3.921577917080e-10       1.174170352969e-13      -3.717303272200e-12       4.716297183595e-16       8.523314996442e-12       1.208045255850e-12      -6.675653334961e-15 
  108       3.965313455724e-10       1.192196028872e-13      -3.804975613238e-12       4.806543388971e-16       8.315699226361e-12       1.184709192329e-12      -6.608093046962e-15 
  109       4.009263458472e-10       1.209881768740e-13      -3.892193615968e-12       4.897758485065e-16       8.114223541336e-12       1.161992801471e-12      -6.540515165258e-15 
  110       4.053415571708e-10       1.227208684746e-13      -3.978882878261e-12       4.989950316556e-16       7.918335866818e-12       1.139847963652e-12      -6.472467764647e-15 
  111       4.097765087908e-10       1.244159783589e-13      -4.064971204261e-12       5.083126294476e-16       7.727964828821e-12       1.118270787154e-12      -6.403956621569e-15 
  112       4.142308601784e-10       1.260718676280e-13      -4.150386624975e-12       5.177293872535e-16       7.543139005196e-12       1.097266113925e-12      -6.335106506449e-15 
  113       4.187041765017e-10       1.276869133803e-13      -4.235056723128e-12       5.272460715956e-16       7.363852756594e-12       1.076834997931e-12      -6.266042402414e-15 
  114       4.231959252625e-10       1.292595099202e-13      -4.318908661796e-12       5.368634704385e-16       7.190065112815e-12       1.056974579617e-12      -6.196889397168e-15 
  115       4.277054729321e-10       1.307880699675e-13      -4.401869213053e-12       5.465823934812e-16       7.021698659149e-12       1.037677960361e-12      -6.127772574862e-15 
  116       4.322320815878e-10       1.322710258661e-13      -4.483864786609e-12       5.564036724482e-16       6.858638422723e-12       1.018934076938e-12      -6.058816907971e-15 
  117       4.367749055493e-10       1.337068307935e-13      -4.564821458448e-12       5.663281613811e-16       6.700730758849e-12       1.000727575975e-12      -5.990147149158e-15 
