# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   86       3.064687211581e-10       7.508564321731e-14      -1.896091197883e-12       2.983205862982e-16       1.465431634789e-11       1.752101331473e-12      -7.948515043590e-15 
   87       3.102523449681e-10       7.716144070628e-14      -1.977290676522e-12       3.053315284485e-16       1.423596243873e-11       1.710499494936e-12      -7.960347002071e-15 
   88       3.140666734536e-10       7.924297233900e-14      -2.059425608199e-12       3.124267734095e-16       1.383248216783e-11       1.670332766918e-12      -7.964959145887e-15 
   89       3.179109027085e-10       8.132843212267e-14      -2.142448985297e-12       3.196066898566e-16       1.344230123432e-11       1.631490444537e-12      -7.954496500213e-15 
   90       3.217853115442e-10       8.341606327287e-14      -2.226305819119e-12       3.268716142125e-16       1.306520444500e-11       1.593955312997e-12      -7.928308095502e-15 
   91       3.256903369372e-10       8.550409304557e-14      -2.310937764887e-12       3.342218871173e-16       1.270123859255e-11       1.557724392335e-12      -7.887754616685e-15 
   92       3.296262403686e-10       8.759070972218e-14      -2.396284766788e-12       3.416578666320e-16       1.235031980474e-11       1.522780454207e-12      -7.834369214838e-15 
   93       3.335930991521e-10       8.967406277874e-14      -2.482285064037e-12       3.491799286458e-16       1.201222835265e-11       1.489091462210e-12      -7.769862558225e-15 
   94       3.375907977638e-10       9.175226305514e-14      -2.568875196956e-12       3.567884672835e-16       1.168660345895e-11       1.456610012190e-12      -7.696127883327e-15 
   95       3.416190191703e-10       9.382338292434e-14      -2.655990013037e-12       3.644838953124e-16       1.137293810609e-11       1.425272772560e-12      -7.615246045883e-15 
   96       3.456772361583e-10       9.588545646160e-14      -2.743562673013e-12       3.722666445503e-16       1.107057384463e-11       1.394999924617e-12      -7.529490571923e-15 
   97       3.497647026628e-10       9.793647961363e-14      -2.831524656929e-12       3.801371662717e-16       1.077869560143e-11       1.365694602853e-12      -7.441332708804e-15 
   98       3.538804450964e-10       9.997441036787e-14      -2.919805770211e-12       3.880959316158e-16       1.049632648788e-11       1.337242335269e-12      -7.353446476249e-15 
   99       3.580235058611e-10       1.019972163110e-13      -3.008335419549e-12       3.961434354050e-16       1.022255160029e-11       1.309537603566e-12      -7.268188263131e-15 
  100       3.621937319817e-10       1.040030246253e-13      -3.097046633615e-12       4.042802073368e-16       9.957236813096e-12       1.282569026072e-12      -7.185940593877e-15 
  101       3.663910825870e-10       1.059899937510e-13      -3.185872625772e-12       4.125068031413e-16       9.700402625403e-12       1.256345256645e-12      -7.106542062802e-15 
  102       3.706153811486e-10       1.079562686269e-13      -3.274745596257e-12       4.208238017538e-16       9.452001866257e-12       1.230868713153e-12      -7.029790558237e-15 
