# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   76       2.709426437374e-10       5.526141075986e-14      -1.152512713150e-12       2.364547870823e-16       2.031306106008e-11       2.467693415008e-12      -9.056986860713e-15 
   77       2.744143167964e-10       5.719631042531e-14      -1.222233219155e-12       2.427368542678e-16       1.967846105952e-11       2.402772047141e-12      -8.850987912139e-15 
   78       2.779180038164e-10       5.915289180239e-14      -1.293356572714e-12       2.491019262677e-16       1.907023377853e-11       2.340449729166e-12      -8.658340135844e-15 
   79       2.814528932157e-10       6.112956220756e-14      -1.365819501653e-12       2.555502054018e-16       1.848567753169e-11       2.280413577821e-12      -8.488569402605e-15 
   80       2.850181708444e-10       6.312470098339e-14      -1.439559826077e-12       2.620819072251e-16       1.792216238798e-11       2.222362653674e-12      -8.349748423158e-15 
   81       2.886144882470e-10       6.513682599028e-14      -1.514533743569e-12       2.686972404236e-16       1.737933113003e-11       2.166261823913e-12      -8.241262631093e-15 
   82       2.922427094748e-10       6.716445404276e-14      -1.590701428016e-12       2.753964246365e-16       1.685723783206e-11       2.112127357256e-12      -8.159824877220e-15 
   83       2.959034541898e-10       6.920605089700e-14      -1.668021899804e-12       2.821796971812e-16       1.635567508206e-11       2.059949533059e-12      -8.101613549846e-15 
   84       2.995970837741e-10       7.126003105894e-14      -1.746453054020e-12       2.890473136051e-16       1.587416249173e-11       2.009691476612e-12      -8.062254009450e-15 
   85       3.033236874400e-10       7.332475759254e-14      -1.825951688659e-12       2.959995482356e-16       1.541193520659e-11       1.961287994448e-12      -8.036800023373e-15 
   86       3.070830683400e-10       7.539854192799e-14      -1.906473532827e-12       3.030366947325e-16       1.496793241595e-11       1.914644409641e-12      -8.019715200492e-15 
   87       3.108747296762e-10       7.747964366988e-14      -1.987973274947e-12       3.101590666381e-16       1.454078586300e-11       1.869635397113e-12      -8.004854425907e-15 
   88       3.146978608110e-10       7.956627040543e-14      -2.070404590963e-12       3.173669979289e-16       1.412880835476e-11       1.826103818934e-12      -7.985445295619e-15 
   89       3.185516480267e-10       8.165660263058e-14      -2.153718713354e-12       3.246608380757e-16       1.373039558302e-11       1.783899508162e-12      -7.955541579399e-15 
   90       3.224362929523e-10       8.374887342759e-14      -2.237859819452e-12       3.320409351353e-16       1.334532886981e-11       1.743005131515e-12      -7.914685374291e-15 
   91       3.263521290473e-10       8.584130099104e-14      -2.322768968301e-12       3.395076510095e-16       1.297365656179e-11       1.703428016456e-12      -7.863945488529e-15 
   92       3.302993022718e-10       8.793206480450e-14      -2.408385501701e-12       3.470613671621e-16       1.261529368746e-11       1.665161401962e-12      -7.804513956814e-15 
   93       3.342777620607e-10       9.001930582505e-14      -2.494647050553e-12       3.547024850879e-16       1.227001665922e-11       1.628183872302e-12      -7.737709527854e-15 
   94       3.382872522969e-10       9.210112666774e-14      -2.581489541207e-12       3.624314267815e-16       1.193745797523e-11       1.592458790824e-12      -7.664981151904e-15 
   95       3.423273022850e-10       9.417559179011e-14      -2.668847201797e-12       3.702486352064e-16       1.161710092140e-11       1.557933733734e-12      -7.587911468303e-15 
   96       3.463972177248e-10       9.624072767673e-14      -2.756652568596e-12       3.781545747633e-16       1.130827427336e-11       1.524539923883e-12      -7.508220293013e-15 
   97       3.504960716850e-10       9.829452302363e-14      -2.844836492353e-12       3.861497317596e-16       1.101014699839e-11       1.492191664547e-12      -7.427768106156e-15 
   98       3.546226955764e-10       1.003349289229e-13      -2.933328144640e-12       3.942346148781e-16       1.072172295735e-11       1.460785773210e-12      -7.348559539554e-15 
   99       3.587759689104e-10       1.023599059797e-13      -3.022056405983e-12       4.024097563787e-16       1.044206921742e-11       1.430226203381e-12      -7.272341418540e-15 
  100       3.629557549137e-10       1.043675728809e-13      -3.110954240898e-12       4.106757148865e-16       1.017104934143e-11       1.400503113249e-12      -7.199324385741e-15 
  101       3.671620812834e-10       1.063560793102e-13      -3.199954957212e-12       4.190330738714e-16       9.908684603649e-12       1.371623996664e-12      -7.129285842748e-15 
  102       3.713948478886e-10       1.083235616375e-13      -3.288990902355e-12       4.274824414220e-16       9.654927209857e-12       1.343589236625e-12      -7.061957832968e-15 
  103       3.756538213656e-10       1.102681436713e-13      -3.377993486459e-12       4.360244507238e-16       9.409657830960e-12       1.316391844376e-12      -6.997025614669e-15 
  104       3.799386297130e-10       1.121879374130e-13      -3.466893205447e-12       4.446597605364e-16       9.172683136583e-12       1.290017198499e-12      -6.934126234026e-15 
  105       3.842487568873e-10       1.140810438098e-13      -3.555619664130e-12       4.533890556715e-16       8.943733328667e-12       1.264442784005e-12      -6.872847098161e-15 
  106       3.885835373974e-10       1.159455535080e-13      -3.644101599295e-12       4.622130474706e-16       8.722459675065e-12       1.239637931426e-12      -6.812724548196e-15 
  107       3.929421509006e-10       1.177795476067e-13      -3.732266902803e-12       4.711324742829e-16       8.508432043145e-12       1.215563555908e-12      -6.753242432287e-15 
  108       3.973236167970e-10       1.195810984110e-13      -3.820042644679e-12       4.801481019430e-16       8.301136433379e-12       1.192171896305e-12      -6.693830678679e-15 
  109       4.017267888254e-10       1.213482701854e-13      -3.907355096209e-12       4.892607242484e-16       8.099972512947e-12       1.169406254269e-12      -6.633863868745e-15 
  110       4.061505476134e-10       1.230791677994e-13      -3.994130264235e-12       4.984711402413e-16       7.904388958634e-12       1.147214105032e-12      -6.572788393047e-15 
