# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   81       2.877988182331e-10       6.462061390310e-14      -1.505576603826e-12       0.000000000000e+00       1.740718991052e-11       2.156960214503e-12      -8.066277381483e-15 
   82       2.914180638943e-10       6.663752970775e-14      -1.581506468590e-12       0.000000000000e+00       1.688436091000e-11       2.102758006584e-12      -7.995902771523e-15 
   83       2.950692381057e-10       6.866855041684e-14      -1.658589579279e-12       0.000000000000e+00       1.638208910466e-11       2.050416844607e-12      -7.955151057769e-15 
   84       2.987526853442e-10       7.071210416326e-14      -1.736785346287e-12       0.000000000000e+00       1.589989351707e-11       1.999925375793e-12      -7.938184768709e-15 
   85       3.024684799853e-10       7.276656777186e-14      -1.816052208143e-12       0.000000000000e+00       1.543700831416e-11       1.951246865605e-12      -7.938424805272e-15 
   86       3.062164125192e-10       7.483026656179e-14      -1.896347663190e-12       0.000000000000e+00       1.499237130135e-11       1.904318124532e-12      -7.948526586014e-15 
   87       3.099959757665e-10       7.690147414899e-14      -1.977628301279e-12       0.000000000000e+00       1.456461241668e-11       1.859048434870e-12      -7.960356192300e-15 
   88       3.138063510943e-10       7.897841224853e-14      -2.059849835448e-12       0.000000000000e+00       1.415204222494e-11       1.815318477508e-12      -7.964966513493e-15 
   89       3.176467356072e-10       8.105927466248e-14      -2.142965414220e-12       0.000000000000e+00       1.375305429106e-11       1.773010627235e-12      -7.954502832012e-15 
   90       3.215174125862e-10       8.314230398647e-14      -2.226920185983e-12       0.000000000000e+00       1.336742971705e-11       1.732107624395e-12      -7.928314153756e-15 
   91       3.254188243523e-10       8.522572662781e-14      -2.311655936351e-12       0.000000000000e+00       1.299521699793e-11       1.692607476309e-12      -7.887761055903e-15 
   92       3.293512376847e-10       8.730772985368e-14      -2.397112737497e-12       0.000000000000e+00       1.263633112842e-11       1.654492871795e-12      -7.834376568805e-15 
   93       3.333147351454e-10       8.938646195583e-14      -2.483228954085e-12       0.000000000000e+00       1.229054829746e-11       1.617730577892e-12      -7.769871226639e-15 
   94       3.373092064034e-10       9.146003241536e-14      -2.569941249195e-12       0.000000000000e+00       1.195750058281e-11       1.582270836582e-12      -7.696138118060e-15 
   95       3.413343395585e-10       9.352651206740e-14      -2.657184590252e-12       0.000000000000e+00       1.163667064564e-11       1.548046761515e-12      -7.615257936850e-15 
   96       3.453896124662e-10       9.558393326587e-14      -2.744892254954e-12       0.000000000000e+00       1.132738642506e-11       1.514973734731e-12      -7.529504032569e-15 
   97       3.494742840610e-10       9.763029004825e-14      -2.832995837204e-12       0.000000000000e+00       1.102881583276e-11       1.482948803384e-12      -7.441347461208e-15 
   98       3.535873856815e-10       9.966353830022e-14      -2.921425253030e-12       0.000000000000e+00       1.073996144751e-11       1.451850076467e-12      -7.353462035836e-15 
   99       3.577279648526e-10       1.016816429029e-13      -3.010110010812e-12       0.000000000000e+00       1.045988913418e-11       1.421565109818e-12      -7.268203976420e-15 
  100       3.618958747864e-10       1.036827264375e-13      -3.098983214410e-12       0.000000000000e+00       1.018846231753e-11       1.392081952689e-12      -7.185955844708e-15 
  101       3.660910811109e-10       1.056649419476e-13      -3.187978140693e-12       0.000000000000e+00       9.925702339885e-12       1.363409936428e-12      -7.106556333340e-15 
  102       3.703134138427e-10       1.076264285603e-13      -3.277027046816e-12       0.000000000000e+00       9.671561376527e-12       1.335551587961e-12      -7.029803438950e-15 
  103       3.745625617716e-10       1.095653122211e-13      -3.366061191474e-12       0.000000000000e+00       9.425919965680e-12       1.308502377894e-12      -6.955453144320e-15 
  104       3.788380668446e-10       1.114797064272e-13      -3.455010856154e-12       0.000000000000e+00       9.188584538543e-12       1.282250468607e-12      -6.883218100537e-15 
  105       3.831393185507e-10       1.133677129627e-13      -3.543805366387e-12       0.000000000000e+00       8.959284949311e-12       1.256776462349e-12      -6.812766309146e-15 
  106       3.874655483048e-10       1.152274226322e-13      -3.632373113004e-12       0.000000000000e+00       8.737672005195e-12       1.232053149337e-12      -6.743719804309e-15 
  107       3.918158238319e-10       1.170569159950e-13      -3.720641573385e-12       0.000000000000e+00       8.523314996442e-12       1.208045255850e-12      -6.675653334961e-15 
  108       3.961890435521e-10       1.188542640998e-13      -3.808537332715e-12       0.000000000000e+00       8.315699226361e-12       1.184709192329e-12      -6.608093046962e-15 
  109       4.005839309640e-10       1.206175292185e-13      -3.895986105234e-12       0.000000000000e+00       8.114223541336e-12       1.161992801471e-12      -6.540515165258e-15 
  110       4.049992576079e-10       1.223448133751e-13      -3.982913487899e-12       0.000000000000e+00       7.918335866818e-12       1.139847963652e-12      -6.472467764647e-15 
  111       4.094345564325e-10       1.240344094170e-13      -4.069247285386e-12       0.000000000000e+00       7.727964828821e-12       1.118270787154e-12      -6.403956621569e-15 
  112       4.138894896390e-10       1.256846707414e-13      -4.154915523795e-12       0.000000000000e+00       7.543139005196e-12       1.097266113925e-12      -6.335106506449e-15 
  113       4.183636249327e-10       1.272939664194e-13      -4.239845772966e-12       0.000000000000e+00       7.363852756594e-12       1.076834997931e-12      -6.266042402414e-15 
  114       4.228564321545e-10       1.288606823997e-13      -4.323965174931e-12       0.000000000000e+00       7.190065112815e-12       1.056974579617e-12      -6.196889397168e-15 
  115       4.273672799112e-10       1.303832227124e-13      -4.407200472366e-12       0.000000000000e+00       7.021698659149e-12       1.037677960361e-12      -6.127772574862e-15 
  116       4.318954322064e-10       1.318600106736e-13      -4.489478037039e-12       0.000000000000e+00       6.858638422723e-12       1.018934076938e-12      -6.058816907971e-15 
  117       4.364400450714e-10       1.332894900884e-13      -4.570723898262e-12       0.000000000000e+00       6.700730758849e-12       1.000727575975e-12      -5.990147149158e-15 
  118       4.410001631958e-10       1.346701264558e-13      -4.650863771345e-12       0.000000000000e+00       6.547782237364e-12       9.830386884092e-13      -5.921887723154e-15 
  119       4.455747165583e-10       1.360004081717e-13      -4.729823086043e-12       0.000000000000e+00       6.399558528979e-12       9.658431039491e-13      -5.854162618624e-15 
  120       4.501625170576e-10       1.372788477338e-13      -4.807527015009e-12       0.000000000000e+00       6.255783291621e-12       9.491118455307e-13      -5.787095280042e-15 
  121       4.547622551431e-10       1.385039829448e-13      -4.883900502245e-12       0.000000000000e+00       6.116137056781e-12       9.328111437769e-13      -5.720808499562e-15 
  122       4.593724964457e-10       1.396743781166e-13      -4.958868291550e-12       0.000000000000e+00       5.980256115859e-12       9.169023114558e-13      -5.655424308891e-15 
  123       4.639918489255e-10       1.407886729094e-13      -5.032355767269e-12       0.000000000000e+00       5.847811018807e-12       9.013503034849e-13      -5.591039332230e-15 
  124       4.686194932349e-10       1.418457326361e-13      -5.104291525281e-12       0.000000000000e+00       5.718754653445e-12       8.861507778529e-13      -5.527647869300e-15 
  125       4.732547072185e-10       1.428445175744e-13      -5.174605152363e-12       0.000000000000e+00       5.593100699901e-12       8.713059213905e-13      -5.465209731028e-15 
  126       4.778966988474e-10       1.437840384411e-13      -5.243226474835e-12       0.000000000000e+00       5.470846088733e-12       8.568159860595e-13      -5.403673688915e-15 
  127       4.825446041908e-10       1.446633579703e-13      -5.310085593399e-12       0.000000000000e+00       5.351970513647e-12       8.426792317480e-13      -5.342977173846e-15 
  128       4.871974853888e-10       1.454815924929e-13      -5.375112917988e-12       0.000000000000e+00       5.236435944219e-12       8.288918690647e-13      -5.283045974891e-15 
  129       4.918543286248e-10       1.462379135144e-13      -5.438239202600e-12       0.000000000000e+00       5.124186138615e-12       8.154480021338e-13      -5.223793938110e-15 
  130       4.965140420974e-10       1.469315492946e-13      -5.499395580147e-12       0.000000000000e+00       5.015146156311e-12       8.023395713902e-13      -5.165122665356e-15 
  131       5.011754539937e-10       1.475617864255e-13      -5.558513597289e-12       0.000000000000e+00       4.909221870815e-12       7.895562963737e-13      -5.106921213081e-15 
  132       5.058373104606e-10       1.481279714105e-13      -5.615525249286e-12       0.000000000000e+00       4.806299482385e-12       7.770856185243e-13      -5.049065791138e-15 
  133       5.104982735780e-10       1.486295122431e-13      -5.670363014828e-12       0.000000000000e+00       4.706245030752e-12       7.649126439769e-13      -4.991419461587e-15 
  134       5.151569193306e-10       1.490658799853e-13      -5.722959890890e-12       0.000000000000e+00       4.608903907838e-12       7.530200863558e-13      -4.933831837497e-15 
  135       5.198117355809e-10       1.494366103467e-13      -5.773249427561e-12       0.000000000000e+00       4.514100370479e-12       7.413882095698e-13      -4.876138781752e-15 
  136       5.244611200408e-10       1.497413052632e-13      -5.821165762897e-12       0.000000000000e+00       4.421637053145e-12       7.299947706068e-13      -4.818162105854e-15 
  137       5.291035214634e-10       1.499796625157e-13      -5.866644337707e-12       0.000000000000e+00       4.331336853328e-12       7.188198235209e-13      -4.759747143639e-15 
  138       5.337378839972e-10       1.501515647045e-13      -5.909624049672e-12       0.000000000000e+00       4.243174510916e-12       7.078608135328e-13      -4.700880498154e-15 
  139       5.383632451826e-10       1.502570025184e-13      -5.950045389231e-12       0.000000000000e+00       4.157157784030e-12       6.971189436624e-13      -4.641583964771e-15 
  140       5.429785957509e-10       1.502960492606e-13      -5.987849818430e-12       0.000000000000e+00       4.073286081733e-12       6.865944275759e-13      -4.581877689297e-15 
